"in the pound",MD9N,N46,Q,N,,,,AA,1
"cow cowpen",MD22N,N77,O,"N ",," ",,AA,2
cowpen,MD22M,N78,N,N,,,,AA,3
"cow cowpen",VA4N,N109,O,N,fenced,,,AA,4
"cow house",VA12N,N131,O,N,open,,,AA,5
"cow stalls",VA12N,N131,O,N,open,,,AA,5
cowpen,VA12N,N131,N,N,,,,AA,5
cowpen,VA15N,N139(*),N,N,,SIC,,AA,6
cowpen,VA15N,N139(*),N,N,,SIC,,AA,6
cowpen,VA15N,N139(*),N,Y,,AUX,,AA,6
cowpen,VA21N,N153,N,N,,,,AA,7
"cattle pen",VA43N,N195,O,N,,,,AA,8
cowpen,VA43N,N195,N,N,,,,AA,8
cowpen,VA46N,N207,N,N,,,,AA,9
cowpen,VA59N,N241,N,Y,"open no shelter ",OLD,,AA,10
cowpen,NC8N,N317,N,N,,,,AA,11
cowpen,NC14N,N331,N,N,,,,AA,12
cowpen,NC24N,N352,N,N,"pen only",,,AA,13
shelter,NC25N,N353,N,N,"open, rude",,,AA,14
cowpen,NC25N,N353,N,N,,,,AA,14
cowpen,NC36N,N381,N,Y,,OLD,,AA,15
cowpen,NC38N,N385,N,N,,,,AA,16
cowpen,NC52N,N429,N,N,,,,AA,17
cowpen,SC6N,N208,N,N,"near house",,,AA,18
gap,SC6N,N208,N,N,"brought cows to for milking; little house, shelves",CNV,,AA,18
pen,SC7N,N209,N,N,,,,AA,19
cowpen,SC7N,N209,N,N,,,,AA,19
"pole pen",SC7N,N209,O,N,"to run 'em",,,AA,19
gap,SC7N,N209,N,N,,,,AA,19
cowpen,SC7N,N209,N,N,,,,AA,19
cowpen,SC11N,N213,N,N,,,,AA,20
NR,SC11M!,2N213!,,N,,,,AA,21
cowpen,SC16N,N217,N,N,"out in the field",,,AA,22
cowpen,SC18N,N219,N,N,"little top over rail",,,AA,23
cowpen,SC19N,N220,N,N,,,,AA,24
cowpen,SC22N,N223,N,N,,,,AA,25
cowpen,SC22N,N223,N,N,"phonetic note",,,AA,25
lot,SC24N,N225,N,N,"for milking",,,AA,26
cowpen,SC38N,N239,N,N,"\"shed covered pine needles\"",SIC,,AA,27
"shed covered pine needles",SC38N,N239,O,Y,,INA,,AA,27
NR,SC42N,N243,,N,"either in the lot or stall, no cowpen",,,AA,28
NR,SC42M,N243X,,N,,,,AA,29
stall,GA1N,N246,N,N,"for milking",,,AA,30
barn,GA1N,N246,N,N,,,,AA,30
NR,GA2N,N247,,N,,,,AA,31
cowpen,GA4N,N249,N,Y,,NEW,,AA,32
"cow lot",GA11N,N258A,O,N,,,,AA,33
cowpen,GA17N,N264,N,N,,,,AA,34
NR,GA24N,N269,,N,,,,AA,35
cowpen,GA25N,N269A,N,N,,,,AA,36
pen,GA34N,N273,N,N,,,,AA,37
cowpen,GA34N,N273,N,N,,,,AA,37
cowpens,GA34N,N273,N,Y,,NEW,,AA,37
stall,GA35N,N273A,N,N,,,,AA,38
NR,GA36N,N274A,,N,,,,AA,39
NR,GA37N,2N274,,N,,,,AA,40
barn,GA37M!,NC274,N,N,,,,AA,41
barn,GA37M!,NC274,N,N,,,,AA,41
cowpen,SC11NA,,N,N,"This has a gate, but no top or cover",,,AA,42
cowpen,SC11NB,,N,N,"Made of \"lathes\" (small poles) nailed to \"posts\". It may or may not have a top.",,,AA,43
lathes,SC11NB,,N,Y,,INA,,AA,43
posts,SC11NB,,N,Y,,INA,,AA,43
NR,SC11NC,,,N,,,,AA,44
NR,SC12NA,,,N,,,,AA,45
NR,SC12NB,,,N,,,,AA,46
"cow lot",SC12NC,,O,N,"for descriptions, see transcript of Prince Smith.",,,AA,47
cowpen,SC12NC,,N,N,"for descriptions, see transcript of Prince Smith.",,,AA,47
cowpen,SC13NA,,N,N,"Open at the top but enclosed around the sides.",,,AA,48
"cow house",SC13NB,,O,N,"closed top, open sides",,,AA,49
"cow house",SC13NC,,O,N,"covered above, but open at the sides.",,,AA,50
"cow lot",SC18NA,,O,N,,,,AA,51
cowpen,SC18NB,,N,N,,,,AA,52
cowpen,SC18NC,,N,N,"This is made by setting up 4 posts and nailing on the sides \"lathes\" 8 inches apart. These lathes are small unsplit oak, gum, or pine saplings about the size of one's arm. When split, such limbs are called 'shingles.' Before splitting they are called \"bolts.\" A \"throw\" is used for splitting them.",,,AA,53
lathes,SC18NC,,N,Y,,INA,,AA,53
bolts,SC18NC,,N,Y,,INA,,AA,53
throw,SC18NC,,N,Y,,INA,,AA,53
"cow lot",GA3NA,,O,N,"Has cover made of poles or \"clapboard\". It also has a gate or bars that serve for a gate.",,,AA,54
cowpen,GA3NB,,N,N,"Has no shelter. Inside there is a small \"lot\". The pen may cover five acres, but the lot is smaller -- big enough for about 2 cows.",,,AA,55
lot,GA3NB,,N,Y,,INA,,AA,55
cowpen,GA3NC,,N,N,"used for several cows",,,AA,56
"cow lot",GA3NC,,O,N,"used for 1 cow",,,AA,56
cowpen,GA4NB,,N,N,"no shelter, made of poles or boards, with a gate.",,,AA,58
cowpen,GA4NC,,N,N,"This is square, has no top; made of poles or strong board, has gate.",,,AA,59
cowpen,GA5NA,,N,N,,,,AA,60
cowpen,GA5NB,,N,N,,,,AA,61
"calf pen",GA5NB,,O,Y,"Has no shelter, made with poles or rails, has gate",REP,,AA,61
cowpen,GA5NC,,N,N,,,,AA,62
"cow lot",GA5NC,,O,Y,,REP,,AA,62
