NR,MD9N,N46,,N," "," "," ",AA,1
"tobacco ground",MD22N,N77,O,N," "," "," ",AA,2
"tobacco lot",MD22M,N78,O,N," "," "," ",AA,3
NR,VA4N,N109,,N," "," "," ",AA,4
field,VA12N,N131,N,N," "," "," ",AA,5
"tobacco patch",VA15N,N139(*),O,N,"small (little here)"," "," ",AA,6
patch,VA15N,N139(*),N,Y,,AUX,,AA,6
field,VA15N,N139(*),N,Y,,AUX,,AA,6
field,VA15N,N139(*),N,Y,,AUX,,AA,6
"tobacco patch",VA21N,N153,O,N," "," "," ",AA,7
"tobacco lot",VA43N,N195,O,N," "," "," ",AA,8
patch,VA46N,N207,N,N," "," "," ",AA,9
field,VA46N,N207,N,N,"larger than patch"," "," ",AA,9
"tobacco patch",VA59N,N241,O,N," "," "," ",AA,10
"cotton patch",VA59N,N241,O,Y,,OLD," ",AA,10
"tater patch",VA59N,N241,O,N," "," "," ",AA,10
field,VA59N,N241,N,N,"larger than patch"," "," ",AA,10
field,NC8N,N317,N,N," "," "," ",AA,11
field,NC14N,N331,N,N," "," "," ",AA,12
"tobacco patch",NC24N,N352,O,N," "," "," ",AA,13
patch,NC25N,N353,N,N," "," "," ",AA,14
patch,NC36N,N381,N,N,small," "," ",AA,15
lot,NC38N,N385,N,N," "," "," ",AA,16
field,NC38N,N385,N,N,"same as lot"," "," ",AA,16
patch,NC52N,N429,N,N," "," "," ",AA,17
tobacco,SC6N,N208,N,N," ",," ",AA,18
field,SC6N,N208,N,N," ",CNV," ",AA,18
"two tobacco barn",SC6N,N208,O,Y," ",INA," ",AA,18
"turnip patch",SC6N,N208,O,N," ",," ",AA,18
"pepper patch",SC7N,N209,O,N," "," "," ",AA,19
tobacco,SC7N,N209,N,N," ",," ",AA,19
field,SC7N,N209,N,N," ",CNV," ",AA,19
field,SC7N,N209,N,N," ",," ",AA,19
"cabbage patch",SC7N,N209,O,N," ",," ",AA,19
field,SC11N,N213,N,N," "," "," ",AA,20
patch,SC11N,N213,N,N,small," "," ",AA,20
plot,SC11M!,2n213!,N,N," "," "," ",AA,21
"family garden",SC11M!,2n213!,O,N," "," "," ",AA,21
"tobacco patch",SC11M!,2n213!,O,N," "," "," ",AA,21
"green patch",SC16N,N217,O,N," "," "," ",AA,22
"cabbage farm",SC18N,N219,O,N," "," "," ",AA,23
tobacco,SC18N,N219,N,N," ",," ",AA,23
garden,SC18N,N219,N,N," ",," ",AA,23
"cabbage patch",SC18N,N219,O,N," ",," ",AA,23
"cabbage patch",SC18N,N219,O,N," ",," ",AA,23
"cabbage field",SC18N,N219,O,N,"in \"acres\"",," ",AA,23
acres,SC18N,N219,N,Y,,INA," ",AA,23
"half a task",SC18N,N219,O,N,"a patch = about \"half a task\" at most",,,AA,23
task,SC18N,N219,N,N,"a \"task\" or \"task\" = \"hundred feet square\"; unit of work on plantation = day's work for a slave in the fields",,,AA,23
task,SC18N,N219,N,N,"a \"task\" or \"task\" = \"hundred feet square\"; unit of work on plantation = day's work for a slave in the fields",,,AA,23
field,SC19N,N220,N,N," "," "," ",AA,24
"bottom task",SC19N,N220,O,N,"one fourth acre plot in bottoms"," "," ",AA,24
patch,SC22N,N223,N,N," "," "," ",AA,25
