whet,MD9N,N46,A,N," "," "," ",AA,1
whetstone,MD9N,N46,N,N," "," "," ",AA,1
whetstone,MD22N,N77,N,N," "," "," ",AA,2
whetstone,MD22M,N78,N,N," "," "," ",AA,3
NR,VA4N,N109,,N," "," "," ",AA,4
whetstone,VA12N,N131,N,N," "," "," ",AA,5
whetstone,VA15N,N139(*),N,N," ",," ",AA,6
whetrock,VA21N,N153,N,N,," "," ",AA,7
whetstone,VA43N,N195,N,N," "," "," ",AA,8
whetrock,VA46N,N207,N,N," ",," ",AA,9
whetrock,VA59N,N241,N,N,,," ",AA,10
whetstone,NC8N,N317,N,N," "," "," ",AA,11
whetter,NC14N,N331,N,N," "," "," ",AA,12
whetrock,NC24N,N352,N,N," "," "," ",AA,13
whetstone,NC24N,N352,N,Y," ",OLD," ",AA,13
whetter,NC25N,N353,N,N," "," "," ",AA,14
whetrock,NC36N,N381,N,N," "," "," ",AA,15
whetrock,NC38N,N385,N,N," "," "," ",AA,16
whetrock,NC52N,N429,N,N," "," "," ",AA,17
whetrock,SC6N,N208,N,N,,," ",AA,18
whetrock,SC6N,N208,N,N,,," ",AA,18
whetstone,SC6N,N208,N,N,,," ",AA,18
file,SC7N,N209,N,N," "," "," ",AA,19
scranch,SC7N,N209,N,N,"same as whetstone"," "," ",AA,19
whetstone,SC7N,N209,N,N,"same as scranch",CNV," ",AA,19
whetstone,SC11N,N213,N,N,," "," ",AA,20
hone,SC11M!,2n213!,N,N," ",," ",AA,21
whetstone,SC11M!,2n213!,N,N," ",," ",AA,21
whetrock,SC16N,N217,N,N," "," "," ",AA,22
awlstone,SC16N,N217,N,N," ",," ",AA,22
file,SC18N,N219,N,N,,," ",AA,23
whetrock,SC18N,N219,N,N,,," ",AA,23
whetstone,SC19N,N220,N,N," "," "," ",AA,24
whetrock,SC19N,N220,N,Y," ",OLD," ",AA,24
whetrock,SC22N,N223,N,N,," "," ",AA,25
whetrock,SC24N,N225,N,N," ",," ",AA,26
whetstone,SC38N,N239,N,N,," "," ",AA,27
whetrock,SC38N,N239,N,N,," "," ",AA,27
NR,SC42N,N243,,N," ",," ",AA,28
NR,SC42M,N243X,," N"," "," "," ",AA,29
file,GA1N,N246,N,N,file," "," ",AA,30
file,GA1N,N246,N,N,file," "," ",AA,30
whetrock,GA2N,N247,N,N,,CNV," ",AA,31
"razor rock",GA2N,N247,O,N,,," ",AA,31
whetrock,GA4N,N249,N,N,,," ",AA,32
"grind rock",GA4N,N249,O,N,,," ",AA,32
whetrock,GA11N,N258A,N,N,,," ",AA,33
file,GA17N,N264,N,N," "," "," ",AA,34
file,GA17N,N264,N,N," "," "," ",AA,34
NR,GA24N,N269,,N," "," "," ",AA,35
NR,GA25N,N269A,,N," "," "," ",AA,36
whetstone,GA34N,N273,N,N," ",," ",AA,37
awlstone,GA34N,N273,N,N," ",," ",AA,37
whetrock,GA34N,N273,N,N," ",," ",AA,37
whetrock,GA35N,N273A,N,N," "," "," ",AA,38
file,GA36N,N274A,N,N," ",," ",AA,39
whetrock,GA36N,N274A,N,N," ",," ",AA,39
NR,GA37N,2N274,,N," "," "," ",AA,40
file,GA37M!,NC274,N,N," "," "," ",AA,41
file,GA37M!,NC274,N,N," "," "," ",AA,41
NR,SC11NA," ",,N,,," ",AA,42
awlstone,SC11NB," ",N,N,"used in the hand",," ",AA,43
whetstone,SC11NC," ",N,Y,,HRD," ",AA,44
NR,SC12NA," ",,N,"has heard of whetstone but never uses that word"," "," ",AA,45
whetstone,SC12NB," ",N,N,"small and used in the hand"," "," ",AA,46
whetstone,SC12NC," ",N,N," "," "," ",AA,47
NR,SC13NA," ",,N,,," ",AA,48
awlstone,SC13NB," ",N,N,,," ",AA,49
NR,SC13NC," ",,N,,," ",AA,50
NR,SC18NA," ",,N,,," ",AA,51
whetrock,SC18NB," ",N,N,,," ",AA,52
awlstone,SC18NC," ",N,N,,," ",AA,53
whetrock,GA3NA," ",N,N,,," ",AA,54
awlstone,GA3NA," ",N,Y,,REP," ",AA,54
whetrock,GA3NB," ",N,N,,," ",AA,55
awlstone,GA3NC," ",N,N,,," ",AA,56
whetrock,GA3NC," ",N,Y,,REP," ",AA,56
whetrock,GA4NA," ",N,N,,," ",AA,57
whetrock,GA4NB," ",N,N,"also \"awlstone\"",," ",AA,58
awlstone,GA4NB," ",N,Y,,INA," ",AA,58
whetrock,GA4NC," ",N,N,"used with the hand",," ",AA,59
NR,GA5NA," ",,N,,," ",AA,60
whetrock,GA5NB," ",N,N,,," ",AA,61
awlstone,GA5NC," ",N,N," "," "," ",AA,62
