"woods road",MD9N,N46,O,N,," ",w¹dz$ro[¹½]d,AA,1
byroad,MD22N,N77,N,N,," ",åbµ¼±¿õro«ºd,AA,2
path,MD22M,N78,N,N,wagons," ",,AA,3
byroad,MD22M,N78,N,N,," ",ba¾±¿½ro«ºd,AA,3
byroad,VA4N,N109,N,N,,,åbµ±¿½õr•oº[¹]d,AA,4
NR,VA12N,N131,,N,," ",,AA,5
"side road",VA15N,N139(*),O,N,," ",åsa¾±¿½d$õro:d,AA,6
byroad,VA15N,N139(*),N,N,," ",åba¾±¿½õro:d,AA,6
byroad,VA21N,N153,N,N,,,åbµ«¼±¿õroº[¹]d,AA,7
"through road",VA43N,N195,O,N,," ",åùu¿¾[u¼]$õro«ºd,AA,8
byroad,VA43N,N195,N,N,," ",åba¾º{²¾]õro«ºd,AA,8
NR,VA46N,N207,,N," "," "," ",AA,9
"back road",VA59N,N241,O,Y,"less traffic",SUG,bák$ro«ºd,AA,10
byway,NC8N,N317,N,N,," ",,AA,11
"branch-off road",NC14N,N331,O,N," "," ",õbrántóå·½ºf$roº[¹]d,AA,12
"neighborhood road",NC14N,N331,O,N," "," ",neºb°h¹{°}d$roº[¹]d,AA,12
byroad,NC24N,N352,N,N,," ",åbµ«±¿õro«ºd,AA,13
"lead-off road",NC24N,N352,O,N,," ",liºd·½ºf$ro«ºd,AA,13
"read-off road",NC24N,N352,O,N,," ",riºd·½ºf$ro«ºd,AA,13
"through road",NC25N,N353,O,N,private," ",åùu¼º$ro«ºd,AA,14
byroad,NC25N,N353,N,N,," ",bµº{²¾]ro«ºd,AA,14
byroad,NC36N,N381,N,N," "," ",åbµ«²«ro«ºd,AA,15
"neighborhood road",NC36N,N381,O,N," "," ",ne«[°«¾]b°h¹{°}d$ro«ºd,AA,15
byroad,NC38N,N385,N,N," "," ",ba¾º[²¾]ro½ºd,AA,16
byroad,NC52N,N429,N,N," "," ",ba¾º{²¼}õro«ºd,AA,17
"plantation road",NC52N,N429,O,N,"thru plantation"," ",õpláéntåe«{°}ó°n$roºd,AA,17
"dirt road",SC6N,N208,O,N," "," ",åd³±¿«t$õro¼º{°}d,AA,18
"county road",SC6N,N208,O,N," "," "," ",AA,18
"foot path",SC7N,N209,O,N," ",,,AA,19
path,SC7N,N209,N,N," ",,,AA,19
NR,SC11N,N213,,N," "," ",,AA,20
highway,SC11M!,2n213!,N,N,"most important",,,AA,21
"secondary roads",SC11M!,2n213!,O,N,,SIC,ås²«kîõd²ºr±¿$åro¿dz,AA,21
"back road",SC11M!,2n213!,O,N,,,åbá½k$ro¿º{°}d,AA,21
"magnolia road",SC11M!,2n213!,O,N,,,má½gåno¼º{°}lj°«$õòo¿¾º{°}d,AA,21
"country roads",SC11M!,2n213!,O,N,,,åkˆ`¸«¼ntò“±¿¼«$õro¿dz,AA,21
"old dirt roads",SC11M!,2n213!,O,N,"(not graded)",,o«¼º{°}l$†d°º[±¿]t$õro«¼ºdz,AA,21
"plantation road",SC16N,N217,O,N," ",,åp`ìáşõt`e{°«]ón–$åro«º{°}d,AA,22
byroad,SC16N,N217,N,N," ",,åbµº±¿åro«{°}d,AA,22
lead-in,SC16N,N217,N,N,"in neighborhood",,,AA,22
"dirt road",SC18N,N219,O,N,," ",åd³•«º±¿t$õro«¼ºd,AA,23
"tar and rock",SC18N,N219,O,N,,,,AA,23
"shell road",SC18N,N219,O,N,"gone out",,åó²l$õro«¼ºd,AA,23
"side road",SC18N,N219,O,N,"leads into a farm",,åsµº°d$ro«¼º{°}d,AA,23
"neighborhood road",SC18N,N219,O,Y,"leads into a farm",SUG/HRD,åne«b°½h¹¼d$õro«¼º{°}d,AA,23
NR,SC19N,N220,,N,," ",,AA,24
by-path,SC19N,N220,N,N,walking," ",,AA,24
byroad,SC19N,N220,N,N,driving," ",åbµ¼±¿½ro«{°}d,AA,24
"neighborhood road",SC19N,N220,O,Y,,SUG,ne«º{°}v°h¹d$ro«{°}d,AA,24
"neighborhood road",SC22N,N223,O,N," "," ",neº{°}b°h¹¼d$ro½ºd,AA,25
"settlement road",SC22N,N223,O,Y,"= to a negro settlement",SUG/OLD,ås²tì–m²nt$ro½ºd,AA,25
"quarter road",SC22N,N223,O,Y,"(slavery times)",OLD,åkw·½ºt°$ro½ºd,AA,25
"dirt road",SC24N,N225,O,N,,,åd³½±¿t$õro¼º[°]d,AA,26
"neighborhood road",SC24N,N225,O,N,,,åneº{°}b°õh¹¼{°}d$åro¼º[°]d,AA,26
"side road",SC38N,N239,O,N," ",,åsa«¾º{°}d$õro¿¼º[¹]d,AA,27
"country road",SC38N,N239,O,N," ",,åk`Ù½ntò±¿«¼$åro¼º¹d,AA,27
"plantation road",SC38N,N239,O,N," ",,åp`ìántõeº±ó°«n$åro«¼º[¹]d,AA,27
"dirt road",SC42N,N243,O,N,,,åd¤º[±¿]t$õr¸•«¾º¹¼{d},AA,28
NR,SC42M,N243X,,N," "," "," ",AA,29
"shell road",GA1N,N246,O,N," ",,åó²l$õroºd,AA,30
bypass,GA1N,N246,N,N," ",,,AA,30
"dirt road",GA2N,N247,O,N,," ",åd³¾±¿t$õòo¼º[¹]d,AA,31
"back road",GA4N,N249,O,Y,"by person's name; with relation to another road",SUG,åbak$ro«ºd,AA,32
avenue,GA4N,N249,N,Y,,SUG/OLD,,AA,32
"dirt road",GA11N,N258A,O,N," ",,åd³¾±¿t$õro[¹]{d},AA,33
"side road",GA11N,N258A,O,N," ",,åsa¾{°}d$õro[¹]{d},AA,33
"dirt road",GA17N,N264,O,N," "," ",d³¼t$ro¼¹¿d,AA,34
"dirt road",GA17N,N264,O,N," "," ",åd³¾[´]t$õro¼[¹¼]d,AA,34
"gravel road",GA17N,N264,O,N," "," ",ågráºvì$õro¼[¹¼]d,AA,34
"dirt road",GA24N,N269,O,N," "," ",åd³º±¿t$õro¼¹¼d,AA,35
"gravel road",GA24N,N269,O,N," "," ",ågráº{°}v°«ì$õro¼¹¼d,AA,35
"gravel road",GA25N,N269A,O,N," "," ",grá{°}v°ì$ro[¹]d,AA,36
"sand road",GA25N,N269A,O,N," "," ",åsáºn$ro[¹]d,AA,36
"dirt road",GA25N,N269A,O,N," "," ",d³«¼±¿t$ro[¹]d,AA,36
"side road",GA25N,N269A,O,N," "," ",åsa«¾:{°}d$õroº[¹]d,AA,36
NR,GA34N,N273,,N," "," "," ",AA,37
"country road",GA35N,N273A,O,N," ",,k¸«¾ntò±¿$ro¹d,AA,38
"side road",GA35N,N273A,O,N," ",,ås¶”º±¿d$ro¹d,AA,38
"gravel road",GA35N,N273A,O,N," ",,ågrá«{°}vì$ro¹d,AA,38
"dirt road",GA35N,N273A,O,N," ",,åd³«±¿t$ro¹d,AA,38
"dirt road",GA36N,N274A,O,N,,,åd³½¾[±¿]t$õro[¹]d,AA,39
"one-way street",GA36N,N274A,O,N,,,,AA,39
"gravel road",GA37N,2N274,O,N," "," ",gráv°«[ì]$ro¼[¹¼]{d},AA,40
"dirt road",GA37N,2N274,O,N," "," ",d³«¾±¿t$ro¼[¹¼]{d},AA,40
"side road",GA37M!,NC274,O,N,,,sa«±¿¼d$ro¹¿d,AA,41
"side road",GA37M!,NC274,O,N,,,åsa«¾º±¿d$õro¼¹¼d,AA,41
"side road",GA37M!,NC274,O,N,,,sa«¾º±¿d$ro¼¹¼d,AA,41
"gravel road",GA37M!,NC274,O,N,,,ågráv°«l$õro¼¹¼d,AA,41
NR,SC11NA," ",,N,," ",,AA,42
NR,SC11NB," ",,N,," ",,AA,43
"public road",SC11NC," ",O,N,"Not acquainted with pike",,p¸bl±k$rod,AA,44
"side road",SC12NA," ",O,N,"a gap is a lane leading from the road to the house."," ",sµ¾±d$rod,AA,45
NR,SC12NB," ",,N,,,,AA,46
"side road",SC12NC," ",O,N,," ",sµ¾±d$rod,AA,47
NR,SC13NA," ",,N,,,,AA,48
NR,SC13NB," ",,N,," ",,AA,49
NR,SC13NC," ",,N,,,,AA,50
NR,SC18NA," ",,N,,,,AA,51
NR,SC18NB," ",,N,," ",,AA,52
NR,SC18NC," ",,N,," ",,AA,53
NR,GA3NA," ",,N,," ",,AA,54
NR,GA3NB," ",,N," ",,,AA,55
NR,GA3NC," ",,N,,,,AA,56
NR,GA4NA," ",,N,,,,AA,57
NR,GA4NB," ",,N,," ",,AA,58
NR,GA4NC," ",,N,," ",,AA,59
NR,GA5NA," ",,N,,,,AA,60
NR,GA5NB," ",,N," "," ",,AA,61
NR,GA5NC," ",,N," ",,,AA,62
