peanuts,MD9N,N46,N,N," "," "," ",AA,1
peanuts,MD22N,N77,N,N," "," "," ",AA,2
peanuts,MD22M,N78,N,N," "," "," ",AA,3
peanuts,VA4N,N109,N,N," "," "," ",AA,4
"ground peas",VA4N,N109,O,N," "," "," ",AA,4
peanuts,VA12N,N131,N,N," "," "," ",AA,5
"ground peas",VA12N,N131,O,N," "," "," ",AA,5
NR,VA15N,N139(*)," ",N," "," "," ",AA,6
peanuts,VA21N,N153,N,N,"long ones"," "," ",AA,7
"goober peas",VA21N,N153,O,N,"short ones"," "," ",AA,7
"ground peas",VA21N,N153,O,N,"long one"," "," ",AA,7
"ground peas",VA43N,N195,O,N," "," "," ",AA,8
"goober peas",VA43N,N195,O,Y," ",SUG," ",AA,8
NR,VA46N,N207," ",N," "," "," ",AA,9
"goober peas",VA59N,N241,O,N," "," "," ",AA,10
peanuts,VA59N,N241,N,Y,modern,NEW," ",AA,10
peanuts,NC8N,N317,N,N," "," "," ",AA,11
"ground peas",NC8N,N317,N,N," "," "," ",AA,11
"ground peas",NC14N,N331,O,N," "," "," ",AA,12
peanuts,NC24N,N352,N,N," "," "," ",AA,13
"ground peas",NC24N,N352,O,N," "," "," ",AA,13
peanuts,NC25N,N353,"N ",N," "," "," ",AA,14
"ground peas",NC25N,N353,O,N," "," "," ",AA,14
pinders,NC25N,N353,N,N,small," "," ",AA,14
"ground peas",NC36N,N381,O,N," "," "," ",AA,15
peanuts,NC38N,N385,N,N,," "," ",AA,16
"ground peas",NC38N,N385,O,N,," "," ",AA,16
pinders,NC52N,N429,N,Y,"modern only",NEW," ",AA,17
"ground peas",NC52N,N429,O,N," "," "," ",AA,17
peanuts,SC6N,N208,N,N," "," "," ",AA,18
"ground nuts",SC6N,N208,O,N," "," "," ",AA,18
"ground nut",SC6N,N208,O,N," "," "," ",AA,18
"ground nut",SC6N,N208,O,N," "," "," ",AA,18
"ground peas",SC6N,N208,O,Y," ",DBT," ",AA,18
"ground nuts ",SC7N,N209,O,"N "," "," "," ",AA,19
pinders,SC7N,N209,N,"N "," "," "," ",AA,19
"ground nut",SC11N,N213,O,"N "," "," "," ",AA,20
peanut,SC11N,N213,N,"N ","after parched"," "," ",AA,20
pinder,SC11N,N213,N,Y," ",SUG," ",AA,20
peanut,SC11M!,2n213!,N,N," "," "," ",AA,21
pinder,SC11M!,2n213!,N,N," "," "," ",AA,21
"ground nut",SC11M!,2n213!,O,N," "," "," ",AA,21
goofers,SC11M!,2n213!,N,Y," ",HRD/DBT," ",AA,21
goofers,SC11M!,2n213!,N,Y," ",DBT," ",AA,21
goobers,SC11M!,2n213!,N,Y," ",SUG," ",AA,21
peanuts,SC16N,N217,N,N," "," "," ",AA,22
pinders,SC16N,N217,N,N,"\"when I was a boy\""," "," ",AA,22
"ground peas",SC18N,N219,O,N," "," "," ",AA,23
peanuts,SC18N,N219,N,N," "," "," ",AA,23
goofer,SC18N,N219,N,N," "," "," ",AA,23
pinders,SC18N,N219,N,N," "," "," ",AA,23
"ground nuts",SC18N,N219,O,N," "," "," ",AA,23
"ground nuts",SC18N,N219,O,N," "," "," ",AA,23
NR,SC19N,N220," ",N," "," "," ",AA,24
NR,SC22N,N223," ",N," "," "," ",AA,25
peanuts,SC24N,N225,N,N," "," "," ",AA,26
pinders,SC24N,N225,N,N," "," "," ",AA,26
pinders,SC38N,N239,N,N," "," "," ",AA,27
peanuts,SC38N,N239,N,N," "," "," ",AA,27
"ground nuts",SC38N,N239,O,N," "," "," ",AA,27
goobers,SC38N,N239,N,Y," ",SUG/HRD," ",AA,27
peanuts,SC42N,N243,N,N," "," "," ",AA,28
goobers,SC42N,N243,N,N," "," "," ",AA,28
pinders,SC42N,N243,N,N," "," "," ",AA,28
"ground peas",SC42N,N243,O,N," "," "," ",AA,28
NR,SC42M,N243X," "," "," "," "," ",AA,29
peanuts,GA1N,N246,N,N," "," "," ",AA,30
peanuts,GA2N,N247,N,N," "," "," ",AA,31
pinders,GA2N,N247,N,N," "," "," ",AA,31
"ground pea",GA4N,N249,O,N," "," "," ",AA,32
pinders,GA4N,N249,N,Y,"modern only",NEW," ",AA,32
chufas,GA4N,N249,N,N,"round black nuts for animals"," "," ",AA,32
"grass nut",GA4N,N249,O,N,"wild variety"," "," ",AA,32
peanuts,GA11N,N258A,N,N," ",CNV," ",AA,33
peanuts,GA11N,N258A,N,N," "," "," ",AA,33
"spanish peanuts",GA11N,N258A,O,N," "," "," ",AA,33
peanuts,GA17N,N264,N,N," "," "," ",AA,34
peanuts,GA17N,N264,N,N," "," "," ",AA,34
peanuts,GA17N,N264,N,N," "," "," ",AA,34
"ground peas",GA17N,N264,O,N," "," "," ",AA,34
"ground peas",GA17N,N264,O,N," "," "," ",AA,34
goobers,GA17N,N264,N,N,"big peanuts"," "," ",AA,34
goober,GA17N,N264,N,N,"big peanuts"," "," ",AA,34
pinder,GA17N,N264,N,N," "," "," ",AA,34
pinders,GA17N,N264,N,N," "," "," ",AA,34
peanuts,GA24N,N269,N,N," "," "," ",AA,35
peanuts,GA25N,N269A,N,N," "," "," ",AA,36
goobers,GA25N,N269A,N,N," "," "," ",AA,36
chufa,GA25N,N269A,N,N,"different from peanut"," "," ",AA,36
"ground peas",GA25N,N269A,O,N," "," "," ",AA,36
