NR,MD9N,N46," ",N," "," "," ",AA,1
NR,MD22N,N77," ",N," "," "," ",AA,2
NR,MD22M,N78," ",N," "," "," ",AA,3
NR,VA4N,N109," ",N," "," "," ",AA,4
NR,VA12N,N131," ",N," "," "," ",AA,5
NR,VA15N,N139(*)," ",N," "," "," ",AA,6
NR,VA21N,N153," ",N," "," "," ",AA,7
NR,VA43N,N195," ",N," "," "," ",AA,8
NR,VA46N,N207," ",N," "," "," ",AA,9
NR,VA59N,N241," ",N," "," "," ",AA,10
NR,NC8N,N317," ",N," "," "," ",AA,11
NR,NC14N,N331," ",N," "," "," ",AA,12
NR,NC24N,N352," ",N," "," "," ",AA,13
NR,NC25N,N353," ",N," "," "," ",AA,14
NR,NC36N,N381," ",N," "," "," ",AA,15
NR,NC38N,N385," ",N," "," "," ",AA,16
NR,NC52N,N429," ",N," "," "," ",AA,17
children,SC6N,N208,N,N," "," "," ",AA,18
children,SC6N,N208,N,N," "," "," ",AA,18
children,SC6N,N208,N,N," "," "," ",AA,18
children,SC6N,N208,N,N," ",CNV," ",AA,18
children,SC7N,N209,N,N," "," "," ",AA,19
"our children",SC11N,N213,O,N," "," "," ",AA,20
offspring,SC11M!,2n213!,N,N," ",," ",AA,21
children,SC11M!,2n213!,N,N," ",CNV," ",AA,21
children,SC11M!,2n213!,N,N," ",CNV," ",AA,21
children,SC11M!,2n213!,N,N," ",CNV," ",AA,21
kids,SC11M!,2n213!,N,N," ",CNV," ",AA,21
kids,SC11M!,2n213!,N,N," ",CNV," ",AA,21
kids,SC11M!,2n213!,N,Y," ",SUG/HRD," ",AA,21
lambs,SC11M!,2n213!,N,Y," ",HRD," ",AA,21
flock,SC11M!,2n213!,N,Y," ",HRD," ",AA,21
crop,SC11M!,2n213!,N,Y," ",HRD," ",AA,21
"young ones",SC11M!,2n213!,O,Y," ",HRD," ",AA,21
"young ones",SC11M!,2n213!,O,N," ",," ",AA,21
children,SC16N,N217,N,N," ",CNV," ",AA,22
grandchildren,SC18N,N219,N,N," ",," ",AA,23
kids,SC18N,N219,N,N," ",," ",AA,23
kids,SC18N,N219,N,N," ",CNV," ",AA,23
"young ones",SC18N,N219,O,N," ",," ",AA,23
"young ones",SC18N,N219,O,N," ",," ",AA,23
NR,SC19N,N220," ",N," "," "," ",AA,24
NR,SC22N,N223," ",N," "," "," ",AA,25
NR,SC24N,N225," ",N," "," "," ",AA,26
chaps,SC38N,N239,N,N," ",," ",AA,27
chaps,SC38N,N239,N,N,commoner,CNV," ",AA,27
children,SC38N,N239,N,N,"'hardly ever call'",," ",AA,27
kids,SC38N,N239,N,N,,," ",AA,27
"young ones",SC38N,N239,O,N,,," ",AA,27
children,SC42N,N243,N,N," "," "," ",AA,28
kids,SC42N,N243,N,N," "," "," ",AA,28
younguns,SC42N,N243,N,N," "," "," ",AA,28
toddlers,SC42M,"N243X ",N,N," ",CNV," ",AA,29
children,SC42M,"N243X ",N,N," ",CNV," ",AA,29
children,SC42M,"N243X ",N,N," ",CNV," ",AA,29
childrens,SC42M,"N243X ",N,N," ",CNV," ",AA,29
"young folks",SC42M,"N243X ",O,N," ",CNV," ",AA,29
"young one",SC42M,N243X,O,N," ",CNV," ",AA,29
children,GA1N,N246,N,N,," "," ",AA,30
children,GA1N,N246,N,N,," "," ",AA,30
children,GA1N,N246,N,N,,CNV," ",AA,30
baby,GA2N,N247,N,N," ",CNV," ",AA,31
children,GA2N,N247,N,Y," ",AUX," ",AA,31
younguns,GA2N,N247,N,Y," ",AUX/CNV," ",AA,31
"young folks",GA2N,N247,O,Y," ",AUX/CNV," ",AA,31
"our childrens",GA4N,N249,O,N," "," "," ",AA,32
"young ones",GA4N,N249,O,Y," ",SUG/OLD," ",AA,32
children,GA11N,N258A,N,N," ",CNV," ",AA,33
children,GA11N,N258A,N,N," ",," ",AA,33
children,GA11N,N258A,N,N," ",," ",AA,33
children,GA11N,N258A,N,N," ",," ",AA,33
children,GA11N,N258A,N,N," ",," ",AA,33
younguns,GA11N,N258A,N,N," ",CNV," ",AA,33
kids,GA11N,N258A,N,N," ",," ",AA,33
child,GA11N,N258A,N,N," ",,,AA,33
children,GA17N,N264,N,N," ",," ",AA,34
children,GA17N,N264,N,N," ",," ",AA,34
childrens,GA17N,N264,N,N," ",," ",AA,34
children,GA17N,N264,N,N," ",," ",AA,34
childrens,GA17N,N264,N,N," ",," ",AA,34
children,GA24N,N269,N,N," ",," ",AA,35
childrens,GA24N,N269,N,N," ",," ",AA,35
children,GA24N,N269,N,N," ",CNV," ",AA,35
children,GA24N,N269,N,N," ",," ",AA,35
children,GA25N,N269A,N,N,,," ",AA,36
children,GA25N,N269A,N,N,,," ",AA,36
babies,GA25N,N269A,N,N,,," ",AA,36
NR,GA34N,N273," ",N," "," "," ",AA,37
children,GA35N,N273A,N,N," ",CNV," ",AA,38
children,GA35N,N273A,N,N," ",," ",AA,38
children,GA36N,N274A,N,N," ",," ",AA,39
children,GA36N,N274A,N,N," ",CNV," ",AA,39
grandchildren,GA36N,N274A,N,N," ",CNV," ",AA,39
chaps,GA36N,N274A,N,N," ",," ",AA,39
children,GA37N,2N274,N,N," ",CNV," ",AA,40
child,GA37N,2N274,N,N," ",CNV," ",AA,40
children,GA37N,2N274,N,N," ",," ",AA,40
children,GA37M!,NC274,N,N," "," "," ",AA,41
children,GA37M!,NC274,N,N," "," "," ",AA,41
children,GA37M!,NC274,N,N," "," "," ",AA,41
children,GA37M!,NC274,N,N," "," "," ",AA,41
children,GA37M!,NC274,N,N," "," "," ",AA,41
children,GA37M!,NC274,N,N," "," "," ",AA,41
children,SC11NA," ",N,N," "," "," ",AA,42
"our children",SC11NB," ",O,N," "," "," ",AA,43
"our children",SC11NC," ",O,N,," "," ",AA,44
"our children",SC12NA," ",O,N," "," "," ",AA,45
"our children",SC12NB," ",O,N,,," ",AA,46
"our children",SC12NC," ",O,N," "," "," ",AA,47
"our children",SC13NA," ",O,N," "," "," ",AA,48
"our children",SC13NB," ",O,N," "," "," ",AA,49
"our children",SC13NC," ",O,N,,," ",AA,50
"our children",SC18NA," ",O,N," "," "," ",AA,51
"our children",SC18NB," ",O,N," "," "," ",AA,52
"our children",SC18NC," ",O,N," "," "," ",AA,53
"our children",GA3NA," ",O,N," "," "," ",AA,54
