sofa,MD9N,N46,N,N,,,,AA,1
sofa,MD22N,N77,N,N,,,,AA,2
sofa,MD22M,N78,N,N,,,,AA,3
lounge,VA4N,N109,N,N,"no arms and back",,,AA,4
sofa,VA4N,N109,N,N,"arms and back",,,AA,4
sofa,VA12N,N131,N,N,,,,AA,5
sofa,VA15N,N139(*),N,N,,,,AA,6
sofa,VA15N,N139(*),N,Y,,AUX,,AA,6
bench,VA21N,N153,N,N,,,,AA,7
seat,VA21N,N153,N,N,,,,AA,7
sofa,VA21N,N153,N,Y,"white people say",HRD,,AA,7
sofa,VA43N,N195,N,N,,,,AA,8
sofa,VA46N,N207,N,N,"2 arms and back",,,AA,9
lounge,VA46N,N207,N,N,"not 2 arms",,,AA,9
sofa,VA59N,N241,N,N,"as in NE only in white houses",,,AA,10
lounge,VA59N,N241,N,N,"=single bed with one head piece",,,AA,10
couch,VA59N,N241,N,N,"=long cushion on floor to sleep on",,,AA,10
sofa,NC8N,N317,N,N,,,,AA,11
sofa,NC14N,N331,N,N,,,,AA,12
bench,NC24N,N352,N,N,,,,AA,13
sofa,NC24N,N352,N,Y,,SUG,,AA,13
sofa,NC25N,N353,N,N,,,,AA,14
lounge,NC25N,N353,N,N,,,,AA,14
sofa,NC36N,N381,N,N,,,,AA,15
NR,NC38N,N385,,N,,,,AA,16
bench,NC52N,N429,N,N,,,,AA,17
bedstead,SC6N,N208,N,N,,,,AA,18
benches,SC6N,N208,N,N,,,,AA,18
"long bench",SC7N,N209,O,N,,,,AA,19
sofa,SC11N,N213,N,N,,,,AA,20
settee,SC11M!,2N213!,N,N,,,,AA,21
settee,SC11M!,2N213!,N,N,,CNV,,AA,21
sofa,SC11M!,2N213!,N,N,,,,AA,21
divan,SC11M!,2N213!,N,N,,,,AA,21
lounge,SC11M!,2N213!,N,N,,,,AA,21
"sofa bed",SC11M!,2N213!,O,N,,,,AA,21
davenport,SC16N,N217,N,N,,,,AA,22
couch,SC16N,N217,N,N,,CNV,,AA,22
"bed lounge",SC18N,N219,O,N,,,,AA,23
sofa,SC18N,N219,N,N,"'some people call it'",,,AA,23
sofa,SC19N,N220,N,N,"sit on",,,AA,24
lounge,SC19N,N220,N,N,"lie on",,,AA,24
couch,SC19N,N220,N,N,"natural, common"," ",,AA,24
sofa,SC22N,N223,N,N,,,,AA,25
benches,SC24N,N225,N,N,"\"the most\"",,,AA,26
"the most",SC24N,N225,O,Y," ",INA,,AA,26
benches,SC38N,N239,N,Y,2-3,OLD,,AA,27
"homemade beds",SC38N,N239,O,N," ",,,AA,27
sofas,SC38N,N239,N,N,,,,AA,27
couches,SC38N,N239,N,N,,,,AA,27
settee,SC42N,N243,N,N,,SIC,,AA,28
settee,SC42N,N243,N,N,," ",,AA,28
sofa,SC42N,N243,N,N,,,,AA,28
davinette,SC42N,N243,N,N,,,,AA,28
settee,SC42N,N243,N,N,,,,AA,28
sofa,SC42N,N243,N,N,,,,AA,28
sette,SC42N,N243,N,N,,,,AA,28
sofa,SC42N,N243,N,N,,,,AA,28
couch,SC42N,N243,N,N,,,,AA,28
couch,SC42N,N243,N,N,,,,AA,28
NR,SC42M,N243X,,N,,,,AA,29
sofa,GA1N,N246,N,N,,,,AA,30
settee,GA1N,N246,N,N,,,,AA,30
"studio couch",GA1N,N246,O,N,,,,AA,30
settee,GA2N,N247,N,N,,,,AA,31
sofa,GA4N,N249,N,N,,,,AA,32
sofa,GA11N,N258A,N,N,,,,AA,33
sofas,GA11N,N258A,N,N,,CNV,,AA,33
davenport,GA11N,N258A,N,N,,,,AA,33
sofa,GA17N,N264,N,N,,,,AA,34
sofa,GA17N,N264,N,N,,,,AA,34
couch,GA17N,N264,N,N,,CNV,,AA,34
"studio couches",GA17N,N264,O,Y,,NEW,,AA,34
"studio couch",GA17N,N264,O,N,,,,AA,34
settee,GA24N,N269,N,N,,,,AA,35
sofa,GA24N,N269,N,N,,,,AA,35
settee,GA25N,N269A,N,N,,,,AA,36
sofa,GA25N,N269A,N,N,"never used",,,AA,36
chesterfield,GA25N,N269A,N,Y,,SUG/DBT,,AA,36
bench,GA34N,N273,N,N,,,,AA,37
settee,GA34N,N273,N,N,,,,AA,37
"sofa chair",GA35N,N273A,O,N,,,,AA,38
settee,GA36N,N274A,N,N,,,,AA,39
couch,GA36N,N274A,N,N,,,,AA,39
davenette,GA37N,2N274,N,N,,,,AA,40
