NR,MD9N,N46," ",N," "," "," ",AA,1
house,MD22N,N77,N,N," "," "," ",AA,2
houses,MD22N,N77,N,N," "," "," ",AA,2
house,MD22M,N78,N,N," "," "," ",AA,3
houses,MD22M,N78,N,N," "," "," ",AA,3
house,VA4N,N109,N,N," "," "," ",AA,4
houses,VA4N,N109,N,N," "," "," ",AA,4
house,VA12N,N131,N,N," "," "," ",AA,5
houses,VA12N,N131,N,N," "," "," ",AA,5
house,VA15N,N139(*),N,N," "," "," ",AA,6
house,VA15N,N139(*),N,N," "," "," ",AA,6
houses,VA15N,N139(*),N,N," "," "," ",AA,6
house,VA21N,N153,N,N," "," "," ",AA,7
houses,VA21N,N153,N,N," "," "," ",AA,7
house,VA43N,N195,N,N," "," "," ",AA,8
houses,VA43N,N195,N,N," "," "," ",AA,8
NR,VA46N,N207," ",N," "," "," ",AA,9
NR,VA59N,N241," ",N," "," "," ",AA,10
house,NC8N,N317,N,N," "," "," ",AA,11
"master's grand house",NC8N,N317,O,Y,"the house of the master",INA/CNV," ",AA,11
houses,NC8N,N317,N,N,,," ",AA,11
house,NC14N,N331,N,N," "," "," ",AA,12
houses,NC14N,N331,N,N," "," "," ",AA,12
house,NC24N,N352,N,N," "," "," ",AA,13
houses,NC24N,N352,N,N," "," "," ",AA,13
NR,NC25N,N353," ",N," "," "," ",AA,14
house,NC36N,N381,N,N," "," "," ",AA,15
houses,NC36N,N381,N,N," "," "," ",AA,15
house,NC38N,N385,N,N," "," "," ",AA,16
houses,NC38N,N385,N,N," "," "," ",AA,16
house,NC52N,N429,N,N," "," "," ",AA,17
houses,NC52N,N429,N,N," "," "," ",AA,17
house,SC6N,N208,N,N," ",CNV," ",AA,18
houses,SC6N,N208,N,N," ",CNV," ",AA,18
house,SC7N,N209,N,N," "," "," ",AA,19
"your house",SC7N,N209,O,N," "," "," ",AA,19
NR,SC11N,N213," ",N," "," "," ",AA,20
shacks,SC11M!,2n213!,N,N,"\"plural\""," "," ",AA,21
purer,SC11M!,2n213!,A,Y,,INA," ",AA,21
house,SC11M!,2n213!,N,N,,CNV," ",AA,21
house,SC11M!,2n213!,N,N,,CNV," ",AA,21
house,SC11M!,2n213!,N,N,,CNV," ",AA,21
house,SC11M!,2n213!,N,N,,CNV," ",AA,21
house,SC11M!,2n213!,N,N,,CNV," ",AA,21
houses,SC11M!,2n213!,N,N,,CNV," ",AA,21
houses,SC11M!,2n213!,N,N,,CNV," ",AA,21
house,SC16N,N217,N,N," "," "," ",AA,22
houses,SC16N,N217,N,N," "," "," ",AA,22
"big house",SC18N,N219,O,N," ",CNV," ",AA,23
house,SC18N,N219,N,N," ",CNV," ",AA,23
house,SC18N,N219,N,N," ",CNV," ",AA,23
houses,SC18N,N219,N,N," ",CNV," ",AA,23
warehouse,SC19N,N220,N,N,"hay, forage"," "," ",AA,24
NR,SC22N,N223," ",N," "," "," ",AA,25
house,SC24N,N225,N,N," ",CNV," ",AA,26
houses,SC24N,N225,N,N," ",CNV," ",AA,26
house,SC38N,N239,N,N," ",CNV," ",AA,27
houses,SC38N,N239,N,N," ",CNV," ",AA,27
houses,SC42N,N243,N,N," "," "," ",AA,28
houses,SC42N,N243,N,N," "," "," ",AA,28
house,SC42M,N243X,N,N," ",CNV," ",AA,29
house,GA1N,N246,N,N," "," "," ",AA,30
