"maple syrup",MD9N,N46,O,N," "," "," ",AA,1
"maple syrup",MD22N,N77,O,N," "," "," ",AA,2
"maple syrup",MD22M,N78,O,N," "," "," ",AA,3
"maple syrup",VA4N,N109,O,N," "," "," ",AA,4
"maple syrup",VA12N,N131,O,Y," ",SUG/HRD," ",AA,5
NR,VA15N,N139(*)," ",N," "," "," ",AA,6
"maple syrup",VA21N,N153,O,N," "," "," ",AA,7
"maple syrup",VA43N,N195,O,N," "," "," ",AA,8
"maple syrup",VA46N,N207,O,N," "," "," ",AA,9
"maple syrup",VA59N,N241,O,N," "," "," ",AA,10
"maple syrup",NC8N,N317,O,N," "," "," ",AA,11
"maple syrup",NC14N,N331,O,N," "," "," ",AA,12
syrup,NC24N,N352,N,N," "," "," ",AA,13
"maple syrup",NC25N,N353,O,N," "," "," ",AA,14
"maple syrup",NC36N,N381,O,N," "," "," ",AA,15
"maple syrup",NC38N,N385,O,N," "," "," ",AA,16
"maple syrup",NC52N,N429,O,N," "," "," ",AA,17
syrup,SC6N,N208,N,N,"\"more finer\""," "," ",AA,18
"more finer",SC6N,N208,K,Y,,INA," ",AA,18
syrup,SC7N,N209,N,N," "," "," ",AA,19
"karo syrup",SC7N,N209,O,N," "," "," ",AA,19
"loose sugar",SC7N,N209,O,N," ",," ",AA,19
wine,SC7N,N209,O,Y," ",INA," ",AA,19
"sweet water",SC7N,N209,O,Y," ",INA," ",AA,19
"maple syrup",SC11N,N213,O,N," "," "," ",AA,20
syrup,SC11M!,2n213!,N,N," "," "," ",AA,21
"corn syrup",SC11M!,2n213!,O,N," "," "," ",AA,21
"cane syrup",SC11M!,2n213!,O,N," "," "," ",AA,21
"maple syrup",SC11M!,2n213!,O,N," "," "," ",AA,21
"white syrup",SC11M!,2n213!,O,N," "," "," ",AA,21
"canning syrup",SC11M!,2n213!,O,N," "," "," ",AA,21
syrup,SC16N,N217,N,N," "," "," ",AA,22
"Georgia cane syrup",SC16N,N217,O,N," "," "," ",AA,22
"millet syrup",SC16N,N217,O,Y,=sorghum,OLD," ",AA,22
sorghum,SC16N,N217,N,Y,"=millet syrup",NEW," ",AA,22
syrup,SC18N,N219,N,N," "," "," ",AA,23
syrup,SC18N,N219,N,N," ",CNV," ",AA,23
"cane syrup",SC18N,N219,O,N," "," "," ",AA,23
"no maple",SC18N,N219,O,N," "," "," ",AA,23
NR,SC19N,N220," ",N," "," "," ",AA,24
NR,SC22N,N223," ",N," "," "," ",AA,25
syrup,SC24N,N225,N,N," "," "," ",AA,26
"cane syrup",SC24N,N225,O,N," "," "," ",AA,26
"ribbon cane syrup",SC24N,N225,O,N," "," "," ",AA,26
"golden syrup",SC38N,N239,O,N," "," "," ",AA,27
"blue cane molasses",SC38N,N239,O,N," "," "," ",AA,27
syrup,SC42N,N243,N,N," "," "," ",AA,28
"maple syrup",SC42N,N243,O,N," "," "," ",AA,28
maple,SC42N,N243,N,N," "," "," ",AA,28
NR,SC42M,"N243X "," "," "," "," "," ",AA,29
syrup,GA1N,N246,N,N," "," "," ",AA,30
syrup,GA1N,N246,N,N," ",CNV," ",AA,30
syrup,GA1N,N246,N,N," "," "," ",AA,30
"maple syrup",GA1N,N246,O,N," "," "," ",AA,30
NR,GA2N,N247," ",N," "," "," ",AA,31
"maple syrup",GA4N,N249,O,N," "," "," ",AA,32
syrup,GA11N,N258A,N,N," "," "," ",AA,33
syrup,GA11N,N258A,N,N," "," "," ",AA,33
corn,GA11N,N258A,O,N," "," "," ",AA,33
"sugar cane syrup",GA11N,N258A,O,N," "," "," ",AA,33
syrup,GA17N,N264,N,N," "," "," ",AA,34
syrup,GA17N,N264,N,N," "," "," ",AA,34
syrup,GA17N,N264,N,N," "," "," ",AA,34
"sugar cane syrup",GA17N,N264,O,N," "," "," ",AA,34
"sorghum cane syrup",GA17N,N264,O,N," "," "," ",AA,34
NR,GA24N,N269," ",N," "," "," ",AA,35
"syrup mill",GA25N,N269A,O,N," ",CNV," ",AA,36
syrup,GA25N,N269A,N,N," "," "," ",AA,36
syrup,GA25N,N269A,N,N," "," "," ",AA,36
"molasses syrup",GA25N,N269A,O,N," "," "," ",AA,36
"ribbon cane syrup",GA25N,N269A,O,N," "," "," ",AA,36
"sorghum syrup",GA25N,N269A,O,N," "," "," ",AA,36
"maple syrup",GA25N,N269A,O,N," "," "," ",AA,36
syrup,GA34N,N273,N,N," "," "," ",AA,37
"maple syrup",GA35N,N273A,O,N," "," "," ",AA,38
syrup,GA36N,N274A,N,N," ",CNV," ",AA,39
syrup,GA36N,N274A,N,N," "," "," ",AA,39
syrup,GA36N,N274A,N,N," "," "," ",AA,39
"molasses syrup",GA37N,2N274,O,N," "," "," ",AA,40
"maple syrup",GA37N,2N274,O,N," "," "," ",AA,40
syrup,GA37N,2N274,N,N," "," "," ",AA,40
NR,GA37M!,NC274," ",N," "," "," ",AA,41
"genuine sugar syrup",SC11NA," ",O,N,"\"china cane\" or \"sorghum\" makes red syrup; \"sugar cane\", clear syrup."," "," ",AA,42
"genuine sugar syrup",SC11NA," ",O,N," "," "," ",AA,42
"genuine syrup",SC11NB," ",O,N," "," "," ",AA,43
"genuine syrup",SC11NC," ",O,N,"made from ribbon cane"," "," ",AA,44
"ribbon cane",SC11NC," ",O,N,"large cane without tassel"," "," ",AA,44
tassel,SC11NC," ",N,N," "," "," ",AA,44
"sugar cane",SC11NC," ",O,N,"small cane with tassel"," "," ",AA,44
sorghum,SC11NC," ",N,N,"small cane with tassel"," "," ",AA,44
millet,SC11NC," ",N,N,"small cane with tassel"," "," ",AA,44
"genuine syrup",SC12NA," ",O,N," "," "," ",AA,45
"genuine syrup",SC12NB," ",O,N," "," "," ",AA,46
"sugar millet",SC12NB," ",O,N,"gives brown syrup, has a tassel"," "," ",AA,46
tassel,SC12NB," ",N,N," "," "," ",AA,46
"sugar cane",SC12NB," ",O,N,"gives a lighter syrup, has no tassel"," "," ",AA,46
"genuine syrup",SC12NC," ",O,N," "," "," ",AA,47
"genuine syrup",SC13NA," ",O,N," "," "," ",AA,48
"china cane",SC13NA," ",O,N,"gives a dark syrup, it has a broad leaf but no tassle"," "," ",AA,48
tassel,SC13NA," ",N,N," "," "," ",AA,48
"sugar millet",SC13NA," ",O,N,"gives a light syrup, it has a tassel and a small leaf like a corn blade"," "," ",AA,48
"genuine cane syrup",SC13NB," ",O,N," "," "," ",AA,49
"china cane",SC13NB," ",O,N,"makes a brownish syrup"," "," ",AA,49
"sugar cane",SC13NB," ",O,N,"a very clear syrup"," "," ",AA,49
"genuine syrup",SC13NC," ",O,N," "," "," ",AA,50
"sugar millet",SC13NC," ",O,N,"gives a clearer syrup than sugar cane"," "," ",AA,50
"sugar cane",SC13NC," ",O,N," "," "," ",AA,50
"genuine syrup",SC18NA," ",O,N," "," "," ",AA,51
"sugar millet",SC18NA," ",O,N,"has small blades--not as large as corn blades.  It has a tassel and gives a dark syrup."," "," ",AA,51
tassel,SC18NA," ",N,N," "," "," ",AA,51
"white cane",SC18NA," ",O,N,"also called \"sugar cane\" makes the best sugar and syrup.  The syrup is light in color.  This cane has no tassel."," "," ",AA,51
"china cane",SC18NA," ",O,N,"is hard, gives brown syrup, and has no tassel."," "," ",AA,51
"genuine syrup",SC18NB," ",O,N," "," "," ",AA,52
"collect syrup",SC18NB," ",O,N,"syrup that you buy in the store"," "," ",AA,52
"genuine maple syrup",SC18NC," ",O,N," "," "," ",AA,53
"genuine syrup",GA3NA," ",O,N," "," "," ",AA,54
"genuine syrup",GA3NB," ",O,N," "," "," ",AA,55
"genuine heavy syrup",GA3NC," ",O,N," "," "," ",AA,56
"genuine syrup",GA4NA," ",O,N," "," "," ",AA,57
"genuine syrup",GA4NB," ",O,N," "," "," ",AA,58
"good syrup",GA4NC," ",O,N," "," "," ",AA,59
"genuine syrup",GA4NC," ",O,Y," ",SUG," ",AA,59
"genuine syrup",GA5NA," ",O,N," "," "," ",AA,60
"genuine syrup",GA5NB," ",O,N," "," "," ",AA,61
"genuine syrup",GA5NC," ",O,N," "," "," ",AA,62
