of biscuits,MD9N,N46,Q,N,,,,AA,1
bannock bread,MD22N,N77,O,N,rolled out like a cake, ,,AA,2
biscuit bread,MD22N,N77,O,N,,,,AA,2
biscuits,MD22M,N78,N,N,,,,AA,3
biscuits,VA4N,N109,N,N,,,,AA,4
biscuit,VA12N,N131,N,N,,,,AA,5
biscuit,VA15N,N139(*),N,N,,,,AA,6
biscuits,VA21N,N153,N,N,,,,AA,7
biscuits,VA43N,N195,N,N,,,,AA,8
biscuits,VA46N,N207,N,N,,,,AA,9
biscuit bread,VA46N,N207,O,N,,,,AA,9
pan of biscuits,VA59N,N241,O,N,,,,AA,10
rolls,VA59N,N241,N,N,light bread pieces,,,AA,10
biscuits,NC8N,N317,N,N,,,,AA,11
biscuits,NC14N,N331,N,N,,,,AA,12
biscuits,NC24N,N352,N,N,,,,AA,13
biscuit,NC25N,N353,N,N,,,,AA,14
biscuits,NC36N,N381,N,N,,,,AA,15
biscuits,NC38N,N385,N,N,,,,AA,16
biscuit,NC52N,N429,N,N,,,,AA,17
biscuits,SC6N,N208,N,N,,,,AA,18
biscuit,SC7N,N209,N,N,,,,AA,19
biscuit,SC11N,N213,N,N,,,,AA,20
biscuits,SC11M!,2N213!,N,N,,,,AA,21
biscuit,SC16N,N217,N,N,,,,AA,22
corn dodgers,SC16N,N217,O,N,"cooked on ""muffin ring"" ",,,AA,22
biscuit,SC18N,N219,N,N,,,,AA,23
biscuit,SC18N,N219,N,N,,CNV,,AA,23
biscuit,SC19N,N220,N,N,,,,AA,24
johnny cake,SC19N,N220,O,N,"baked in pan, 3/4"" thick, mixed flour.",,,AA,24
NR,SC22N,N223,,N,,,,AA,25
biscuits,SC24N,N225,N,N,,SIC,,AA,26
biscuits,SC38N,N239,N,N,,,,AA,27
biscuit,SC42N,N243,N,N,,,,AA,28
pan full of biscuit,SC42N,N243,O,N,,,,AA,28
pan full,SC42N,N243,O,N,,,,AA,28
NR,SC42M,N243X,,N,,,,AA,29
biscuit,GA1N,N246,N,N,,,,AA,30
biscuit,GA2N,N247,N,N,,,,AA,31
biscuits,GA2N,N247,N,Y,,AUX,,AA,31
biscuit,GA4N,N249,N,N,,,,AA,32
biscuits,GA11N,N258A,N,N,,,,AA,33
biscuits,GA17N,N264,N,N,,,,AA,34
biscuits,GA17N,N264,N,N,,,,AA,34
small pounds biscuits,GA17N,N264,O,N,,,,AA,34
milk bread,GA17N,N264,O,N,milk and eggs,,,AA,34
biscuit,GA24N,N269,N,N,,,,AA,35
biscuit,GA25N,N269A,N,N,,,,AA,36
biscuit,GA34N,N273,N,N,,,,AA,37
biscuit,GA35N,N273A,N,N,,,,AA,38
biscuits,GA35N,N273A,N,N,,,,AA,38
NR,GA36N,N274A,,N,,,,AA,39
biscuits,GA37N,2N274,N,N,,,,AA,40
corn muffin,GA37M!,NC274,O,N,,,,AA,41
biscuit,GA37M!,NC274,N,N,,,,AA,41
biscuits,GA37M!,NC274,N,N,,,,AA,41
pan of biscuit,SC45GA,,O,N,,,,AA,42
pan of biscuit,SC45GB,,O,N,,,,AA,43
pan of biscuit,SC45GC,,O,N,,,,AA,44
pan of biscuit,SC46GA,,O,N,,,,AA,45
pan of biscuit,SC46GB,,O,N,,,,AA,46
pan of biscuit,SC46GC,,O,N,,,,AA,47
pan of biscuit,SC47GA,,O,N,,,,AA,48
pan of biscuit,SC47GB,,O,N,,,,AA,49
pan of biscuit,SC47GC,,O,N,,,,AA,50
pan of biscuit,SC48GA,,O,N,,,,AA,51
pan of biscuit,SC48GB,,O,N,,,,AA,52
pan of biscuit,SC48GC,,O,N,,,,AA,53
pan of biscuit,GA45GA,,O,N,,,,AA,54
pan of biscuit,GA45GB,,O,N,,,,AA,55
pan of biscuit,GA45GC,,O,N,,,,AA,56
pan of biscuit,GA47GA,,O,N,,,,AA,57
pan of biscuit,GA47GB,,O,N,,,,AA,58
pan of biscuit,GA47GC,,O,N,,,,AA,59
pan of biscuit,GA48GA,,O,N,,,,AA,60
pan of biscuit,GA48GB,,O,N,,,,AA,61
pan of biscuit,GA48GC,,O,N,,,,AA,62
