porch,MD9N,N46,N,N, ,,,AA,1
piazza,MD22N,N77,N,N, ,,,AA,2
porch,MD22N,N77,N,N, ,,,AA,2
porch,MD22M,N78,N,N, , ,,AA,3
porch,VA4N,N109,N,N, ,,,AA,4
porch,VA12N,N131,N,N, , ,,AA,5
porch,VA15N,N139(*),N,N, , ,,AA,6
porch,VA15N,N139(*),N,Y, ,AUX,,AA,6
porch,VA21N,N153,N,N, , ,,AA,7
porch,VA43N,N195,N,N, , ,,AA,8
porch,VA46N,N207,N,N,, ,,AA,9
porch,VA59N,N241,N,N,,,,AA,10
porch,NC8N,N317,N,N, ,,,AA,11
piazza,NC8N,N317,N,N, ,,,AA,11
porch,NC14N,N331,N,N,fifty years, ,,AA,12
piazza,NC14N,N331,N,N,, ,,AA,12
piazza,NC24N,N352,N,N, , ,,AA,13
porch,NC24N,N352,N,Y, ,SUG/HRD/NEW,,AA,13
piazza,NC25N,N353,N,N, ,,,AA,14
porch,NC25N,N353,N,Y, ,NEW,,AA,14
porch,NC36N,N381,N,N, , ,,AA,15
piazza,NC36N,N381,N,Y, ,OLD,,AA,15
porch,NC38N,N385,N,N, , ,,AA,16
piazza,NC38N,N385,N,Y, ,OLD,,AA,16
piazza,NC52N,N429,N,N, ,,,AA,17
porch,NC52N,N429,N,N, ,,,AA,17
steps,SC6N,N208,N,N,,,,AA,18
porch,SC6N,N208,N,N,,,,AA,18
piazza,SC6N,N208,N,N,,,,AA,18
piazza,SC6N,N208,N,N,,,,AA,18
piazza,SC7N,N209,N,N,,,,AA,19
porch,SC7N,N209,N,N,,,,AA,19
porch,SC7N,N209,N,N,,CNV,,AA,19
piazza,SC11N,N213,N,N,natural, ,,AA,20
porch,SC11N,N213,N,Y,,HRD,,AA,20
porch,SC11M!,2n213!,N,Y,,NEW,,AA,21
porch,SC11M!,2n213!,N,Y,,NEW,,AA,21
piazza,SC11M!,2n213!,N,N,,,,AA,21
veranda,SC11M!,2n213!,N,Y,,HRD,,AA,21
back piazza,SC11M!,2n213!,N,N,,,,AA,21
stoop,SC11M!,2n213!,N,N,"""close up in outside"" ",,,AA,21
close up in outside,SC11M!,2n213!,E,Y,,INA,,AA,21
porch,SC11M!,2n213!,N,N,,CNV,,AA,21
porch,SC16N,N217,N,N, ,,,AA,22
shade,SC16N,N217,N,N, ,,,AA,22
front shade,SC16N,N217,N,Y,,OLD,,AA,22
piazza,SC16N,N217,N,N, ,,,AA,22
stoop,SC16N,N217,N,N,very small,,,AA,22
front porch,SC18N,N219,N,N, ,,,AA,23
piazza,SC18N,N219,N,N, ,,,AA,23
front piazza,SC18N,N219,N,N, ,,,AA,23
piazza,SC19N,N220,N,N,"longer, covered", ,,AA,24
stoop,SC19N,N220,N,Y,"small, covered",NEW,,AA,24
flatform,SC19N,N220,N,Y,no cover,OLD,,AA,24
porch,SC19N,N220,N,Y,"natural, equals 'stoop'",SUG/OLD,,AA,24
porch,SC22N,N223,N,N,,,,AA,25
piazza,SC22N,N223,N,N,,,,AA,25
stoop,SC22N,N223,N,N,,,,AA,25
piazza,SC24N,N225,N,N, ,, ,AA,26
step piazza,SC38N,N239,O,N, ,,,AA,27
porch,SC38N,N239,N,N, ,,,AA,27
walkway,SC38N,N239,N,N, ,,,AA,27
piazza,SC38N,N239,N,N, ,,,AA,27
back porch,SC38N,N239,N,N, ,,,AA,27
back piazza,SC38N,N239,N,N, ,,,AA,27
back stoops,SC38N,N239,N,N, ,,,AA,27
front stoops,SC38N,N239,N,N, ,,,AA,27
front porch,SC42N,N243,O,N, ,,,AA,28
front veranda,SC42N,N243,O,N, ,,,AA,28
back veranda,SC42N,N243,O,N, ,,,AA,28
back piazza,SC42N,N243,O,N, ,,,AA,28
back porch,SC42N,N243,O,N, ,,,AA,28
NR,SC42M,N243X,,N, ,, ,AA,29
porch,GA1N,N246,N,N,,,,AA,30
porch,GA1N,N246,N,N,,,,AA,30
stoop,GA1N,N246,N,N,,,,AA,30
upstairs,GA1N,N246,N,Y,,HRD,,AA,30
patio,GA1N,N246,N,N,patio is upstairs porch,,,AA,30
breezeway,GA1N,N246,N,Y,"breezeway, not here",SUG/HRD,,AA,30
front shade,GA2N,N247,O,N, , ,,AA,31
stoop,GA2N,N247,N,N,back, ,,AA,31
back shade,GA2N,N247,O,N,, ,,AA,31
porch,GA4N,N249,N,N,,,,AA,32
piazza,GA4N,N249,N,N,,,,AA,32
stoop,GA4N,N249,N,Y,small,SUG,,AA,32
porch,GA11N,N258A,N,N,,,,AA,33
back porch,GA11N,N258A,O,N,,CNV,,AA,33
side porch,GA11N,N258A,O,N,,,,AA,33
aired porch,GA11N,N258A,O,N,,,,AA,33
front porch,GA11N,N258A,O,N,,,,AA,33
porch,GA17N,N264,N,N,any platform,,,AA,34
porch,GA17N,N264,N,N,any platform,,,AA,34
porch,GA17N,N264,N,N,any platform,CNV,,AA,34
porch,GA24N,N269,N,N, ,, ,AA,35
porch,GA24N,N269,N,N, ,CNV, ,AA,35
front yard,GA25N,N269A,O,N,,,,AA,36
front porch,GA25N,N269A,O,N,,,,AA,36
verandas,GA34N,N273,N,N,,,,AA,37
porches,GA34N,N273,N,N,,,,AA,37
sun porch,GA35N,N273A,O,N, , ,,AA,38
flat porch,GA36N,N274A,O,N,,,,AA,39
veranda,GA36N,N274A,N,N,,,,AA,39
porch,GA36N,N274A,N,N,,,,AA,39
porch,GA36N,N274A,N,N,,,,AA,39
hiproof porch,GA36N,N274A,N,N,,,,AA,39
flatform,GA36N,N274A,N,N,,,,AA,39
front porch,GA37N,2N274,O,N,,,,AA,40
porch,GA37N,2N274,N,N,,CNV,,AA,40
stoop,GA37M!,NC274,N,N, , ,,AA,41
small stoop,GA37M!,NC274,O,N, , ,,AA,41
porch,GA37M!,NC274,N,N, , ,,AA,41
porch,GA37M!,NC274,N,N, , ,,AA,41
porch,GA37M!,NC274,N,N,large; at least one fourth of limb structure used to be covered, ,,AA,41
piazza,SC45GA, ,N,N,"now it is called ""porch"" ",, ,AA,42
porch,SC45GA, ,N,Y,,INA, ,AA,42
piazza,SC45GB, ,N,N,"at the front or back door; also ""porch""; she has never heard of ""stoop"" ",,,AA,43
porch,SC45GB, ,N,N,,,,AA,43
stoop,SC45GB, ,N,Y,,SUG,,AA,43
piazza,SC45GC, ,N,N,"at the back door it is called ""back porch""; when it has no top it is called ""flatform"" ",,,AA,44
back porch,SC45GC, ,O,N,at the back door,,,AA,44
flatform,SC45GC, ,N,N,no top,,,AA,44
porch,SC45GC, ,N,Y,,REP,,AA,44
piazza,SC46GA, ,N,N,,,,AA,45
porch,SC46GA, ,N,N,"has never heard of 'stoop,' 'veranda,' or 'gallery' for a porch",,,AA,45
porch,SC46GB, ,N,N,,,,AA,46
back porch,SC46GB, ,O,N,,,,AA,46
piazza,SC46GB, ,N,Y,,SUG,,AA,46
porch,SC46GC, ,N,N,"She used to say ""piazza.""  This may be either at the front or at the back door.",,,AA,47
piazza,SC46GC, ,N,Y,front or back,OLD,,AA,47
porch,SC47GA, ,N,N,,, ,AA,48
piazza,SC47GA, ,N,Y,This was more common in rebel (slavery) times.,REP, ,AA,48
porch,SC47GB, ,N,N,"synonymous with ""piazza"" ",,,AA,49
piazza,SC47GB, ,N,N,equals porch,,,AA,49
porch,SC47GC, ,N,N,"""on the front part of the house.  White people say piazza the most."" ", ,,AA,50
on the front part of the house.  White people say piazza the most,SC47GC, ,S,Y,,INA,,AA,50
piazza,SC48GA, ,N,N,on the front; has a top; larger than porch and stoop, ,,AA,51
porch,SC48GA, ,N,N,on the side; has a top; midsize between piazza and stoop, ,,AA,51
stoop,SC48GA, ,N,N,at the back door; has a top; smaller than piazza and porch, ,,AA,51
piazza,SC48GB, ,N,N,"same as porch and at either the front or back door.  ""a stoop"" is smaller.",,,AA,52
porch,SC48GB, ,N,N,"same as piazza and at either the front or back door.  ""a stoop"" is smaller.",,,AA,52
stoop,SC48GB, ,N,N,smaller than either a piazza or porch,,,AA,52
piazza,SC48GC, ,N,N,"""a stoop"" is four or five feet wide with a top.  ""a porch"" is also called ""a stoop."" ",,,AA,53
stoop,SC48GC, ,N,Y,four or five feet wide with a top; also called  'a proch',INA,,AA,53
porch,SC48GC, ,N,Y,also called 'a stoop.',INA,,AA,53
piazza,GA45GA, ,N,N,"A ""stoop"" may be at the front or back.  It is narrow--not much wider than the door and may or may not have a top.  A ""piazza"" is always on the front and usually extends the whole length of the house.  It has a top.  A small porch on the back of the house is called ""the portegue."" ",,,AA,54
stoop,GA45GA, ,N,N,may be at the front or back.  It is narrow--not much wider than the door and may or may not have a top.,,,AA,54
piazza,GA45GA, ,N,N,always on the front and usually extends the whole length of the house.  It has a top.,,,AA,54
portegue,GA45GA, ,N,Y,small porch on the back of the house,DDT/INA,,AA,54
piazza,GA45GB, ,N,N, ,, ,AA,55
porch,GA45GB, ,N,Y, ,SUG, ,AA,55
