tire,MD9N,N46,N,N,,,,AA,1
rim,MD22N,N77,N,N,,,,AA,2
rim,MD22N,N77,N,N,,,,AA,2
fellies,MD22N,N77,N,N,,,,AA,2
ban,MD22M,N78,N,N,,,,AA,3
rim,MD22M,N78,N,N,,,,AA,3
fellies,MD22M,N78,N,N,,,,AA,3
tire,VA4N,N109,N,N,,,,AA,4
rim,VA4N,N109,N,N,,,,AA,4
felly,VA4N,N109,N,N,,,,AA,4
tire,VA12N,N131,N,N,,,,AA,5
rim,VA12N,N131,N,N,,,,AA,5
tire,VA15N,N139(*),N,N,,,,AA,6
felly,VA15N,N139(*),N,N,,,,AA,6
tire,VA21N,N153,N,N,,,,AA,7
car tire,VA21N,N153,O,N,,,,AA,7
rim,VA21N,N153,N,N,,,,AA,7
felly,VA21N,N153,N,N,,,,AA,7
tire,VA43N,N195,N,N,,,,AA,8
fellies,VA43N,N195,N,N,,,,AA,8
tire,VA46N,N207,N,N,,,,AA,9
rim,VA46N,N207,N,N,"older, in one solid piece",,,AA,9
felly,VA46N,N207,N,Y,(b),INA,,AA,9
tire,VA59N,N241,N,N,,,,AA,10
felly,VA59N,N241,N,Y,(b),INA,,AA,10
tire,NC8N,N317,N,N,,,,AA,11
fellies,NC8N,N317,N,N,,,,AA,11
tire,NC14N,N331,N,N,,,,AA,12
fellies,NC14N,N331,N,N,,,,AA,12
tire,NC24N,N352,N,N,,,,AA,13
fellies,NC24N,N352,N,N,,,,AA,13
tire,NC25N,N353,N,N,,,,AA,14
felly,NC25N,N353,N,N,phonological note,,,AA,14
tire,NC36N,N381,N,N,,,,AA,15
rim,NC36N,N381,N,N,,,,AA,15
fellies,NC36N,N381,N,N,,,,AA,15
tire,NC38N,N385,N,N,,,,AA,16
fellies,NC38N,N385,N,N,,,,AA,16
tire,NC52N,N429,N,N,,,,AA,17
rim,NC52N,N429,N,N,,,,AA,17
felly,SC6N,N208,N,N,wood,,,AA,18
fellies,SC6N,N208,N,N,wood,,,AA,18
tire,SC6N,N208,N,N,metal,,,AA,18
rim,SC7N,N209,N,N,"""wood"" ",,,AA,19
wood,SC7N,N209,N,Y,,INA,,AA,19
felly,SC7N,N209,N,Y,,SUG,,AA,19
tire,SC7N,N209,N,N,,,,AA,19
tire,SC7N,N209,N,N,,,,AA,19
rubber tire,SC7N,N209,O,N,,,,AA,19
turner,SC7N,N209,N,N,,,,AA,19
tire,SC11N,N213,N,N,,,,AA,20
felly,SC11N,N213,N,Y,(b),INA,,AA,20
tire,SC11M!,2N213!,N,N,iron part,,,AA,21
rim,SC11M!,2N213!,N,N,,,,AA,21
hub,SC16N,N217,N,N,in center,,,AA,22
spoke,SC16N,N217,N,N,,,,AA,22
rim,SC16N,N217,N,N,,,,AA,22
wheel,SC16N,N217,N,N,,,,AA,22
fellies,SC16N,N217,N,N,,,,AA,22
tire,SC16N,N217,N,N,"metal, outside",,,AA,22
rim,SC18N,N219,N,N,wood,,,AA,23
band,SC18N,N219,N,N, iron,,,AA,23
band,SC18N,N219,N,N,iron,,,AA,23
tire,SC19N,N220,N,N,,,,AA,24
fellies,SC19N,N220,N,N,,,,AA,24
tire,SC22N,N223,N,N,,,,AA,25
felly,SC22N,N223,N,Y,(b),INA,,AA,25
rim,SC24N,N225,N,N,,,,AA,26
fellies,SC24N,N225,N,N,,,,AA,26
