side cutter,MD9N,N46,O,N,tears teeth,,,AA,1
harrow,MD9N,N46,N,N,flat thing,,,AA,1
drag,MD9N,N46,N,Y,flat thing,SUG,,AA,1
harrow,MD22N,N77,N,N,,,,AA,2
roller,MD22N,N77,N,N,smooth - rolls,,,AA,2
drag,MD22N,N77,N,N,smooth - drags,,,AA,2
harrow,MD22M,N78,N,N,,,,AA,3
drag,MD22M,N78,N,N,smooths,,,AA,3
harrow,VA4N,N109,N,N,,,,AA,4
drag,VA4N,N109,V,N,to smooth,,,AA,4
harrow,VA12N,N131,N,N,,,,AA,5
drag,VA12N,N131,V,N,smooth,,,AA,5
harrow,VA15N,N139(*),N,N,formerly none at all. everything by hand and foot,,,AA,6
drag,VA21N,N153,V,N,,,,AA,7
drag,VA43N,N195,V,N,smooth,,,AA,8
harrow,VA43N,N195,N,N,tears deep,,,AA,8
harrow,VA46N,N207,N,N,,,,AA,9
spring tooth,VA46N,N207,N,N,deep teeth,,,AA,9
harrow,VA46N,N207,N,N,small teeth,,,AA,9
harrow,VA59N,N241,N,N,old wooden one,,,AA,10
harrow,VA59N,N241,N,N,"A-shape, teeth all around",,,AA,10
harrow,VA59N,N241,N,N,one tooth in middle,CNV,,AA,10
spring tooth,VA59N,N241,N,N,"modern kind, teeth pull out roots",,,AA,10
drag,VA59N,N241,N,N,drag over and smooth over ground,,,AA,10
section,NC8N,N317,N,N,smoothing,,,AA,11
drag ,NC8N,N317,N,N,,SUG/OLD/HRD,,AA,11
harrow,NC14N,N331,N,N,,,,AA,12
disc,NC24N,N352,N,N,tears,,,AA,13
harrow,NC24N,N352,N,N,smooth,,,AA,13
drag,NC24N,N352,N,N,old homemade kind,,,AA,13
harrow,NC25N,N353,N,N,,,,AA,14
drag,NC25N,N353,N,N,to smooth the ground,,,AA,14
harrow,NC36N,N381,N,N,= dist.,,,AA,15
harrow,NC38N,N385,N,N,,,,AA,16
harrow,NC52N,N429,N,N,,,,AA,17
harrow,SC6N,N208,N,N,,,,AA,18
harrow drawn,SC6N,N208,O,N,,,,AA,18
disk harrow,SC6N,N208,O,N,,,,AA,18
drag,SC7N,N209,N,N,,,,AA,19
harrow,SC7N,N209,N,N,,,,AA,19
harrow,SC11N,N213,N,N,,,,AA,20
harrow,SC11M!,2N213!,N,N,,,,AA,21
harrow,SC11M!,2N213!,N,N,,,,AA,21
harrow,SC16N,N217,N,N,,,,AA,22
teeth harrow,SC16N,N217,O,Y,,OLD,,AA,22
disc harrow,SC16N,N217,O,N, , ,,AA,22
harrows,SC18N,N219,N,N,,,,AA,23
harrow,SC19N,N220,N,N,,,,AA,24
drag,SC19N,N220,N,Y,log to drag across field to smooth,SUG/OLD,,AA,24
harrow,SC22N,N223,N,N,,,,AA,25
drag,SC22N,N223,N,N,old log,,,AA,25
harrow,SC24N,N225,N,N,,,,AA,26
drag,SC24N,N225,N,N,logs behind horse,,,AA,26
harrow,SC38N,N239,N,N,,,,AA,27
NR,SC42N,N243,,N,,,,AA,28
NR,SC42M,N243X,,N,,,,AA,29
harrow,GA1N,N246,N,N,,,,AA,30
harrow,GA1N,N246,N,N,,,,AA,30
cultivator,GA1N,N246,V,N,,,,AA,30
NR,GA2N,N247,,N,,,,AA,31
harrow,GA4N,N249,N,N,has teeth for tearing,,,AA,32
harrow,GA11N,N258A,N,N,,,,AA,33
harrow,GA17N,N264,N,N,,,,AA,34
harrow,GA17N,N264,N,N,,,,AA,34
drag harrows,GA24N,N269,O,N,,,,AA,35
harrow,GA25N,N269A,N,N,,,,AA,36
cultivated,GA25N,N269A,V,N,,,,AA,36
harrows,GA34N,N273,N,N,later,,,AA,37
harrow it,GA34N,N273,E,N,,CNV,,AA,37
harrow,GA34N,N273,N,N,,CNV,,AA,37
harrows,GA34N,N273,V,N,,CNV,,AA,37
harrow,GA35N,N273A,N,N,,,,AA,38
harrow,GA36N,N274A,N,N,,,,AA,39
drag harrow,GA36N,N274A,O,N,,,,AA,39
NR,GA37N,2N274,,N,,,,AA,40
harrow,GA37M!,NC274,N,N,,,,AA,41
harrow,GA37M!,NC274,N,N,,,,AA,41
harrow,SC45GA,,N,N,,,,AA,42
harrow,SC45GB,,N,N,"also called a ""cultivator"" ",,,AA,43
cultivator,SC45GB,,N,N,"also called a ""harrow"" ",,,AA,43
harrow,SC45GC,,N,N,,,,AA,44
harrow,SC46GA,,N,N,"""the tractor levels them down; the harrow come behind the tractor.  Colored people use harrow [only]."" ",,,AA,45
harrow,SC46GB,,N,N,"""We use this for broke up the clod.""  means to plow round and round beginning on the outer edge of the field and finishing in the middle.  A field miner was a watchman who protected the crops during the night and day.  He took the place of the scarecrow.",,,AA,46
harrow,SC46GC,,N,N,"""often if the bed is too high, you take a boat and drag them flat.""  ",,,AA,47
harrow,SC47GA,,N,N,,,,AA,48
harrow,SC47GB,,N,N,,,,AA,49
harrow,SC47GC,,N,N,,,,AA,50
harrow,SC48GA,,N,N,,,,AA,51
harrow,SC48GB,,N,N,,,,AA,52
harrow,SC48GC,,N,N,sometimes called drag,,,AA,53
drag,SC48GC,,N,N,,,,AA,53
harrow,GA45GA,,N,N,,,,AA,54
harrow,GA45GB,,N,N,,,,AA,55
harrow,GA45GC,,N,N,,,,AA,56
harrow,GA47GA,,N,N,,,,AA,57
harrow,GA47GB,,N,N,,,,AA,58
harrow,GA47GC,,N,N,,,,AA,59
harrow,GA48GA,,N,N,,,,AA,60
cultivator,GA48GA,,N,Y,,REP,,AA,60
NR,GA48GB,,,N,,,,AA,61
harrow,GA48GC,,N,N,,,,AA,62
