pour down,MD9N,N46,O,N,,,,AA,1
NR,MD22N,N77,,N,,,,AA,2
big rain,MD22M,N78,O,N,,,,AA,3
hard shower,VA4N,N109,O,N,,,,AA,4
shower of rain,VA12N,N131,O,N,,,,AA,5
NR,VA15N,N139(*),,N,,,,AA,6
rain pour down,VA21N,N153,O,N,,,,AA,7
big rain,VA43N,N195,O,N,,,,AA,8
NR,VA46N,N207,,N,,,,AA,9
hard shower,VA59N,N241,O,N,,,,AA,10
gully washer,VA59N,N241,O,N,,,,AA,10
trash piler,VA59N,N241,O,N,,,,AA,10
hard rain,NC8N,N317,O,N,,,,AA,11
big rain,NC14N,N331,O,N,,,,AA,12
large rain,NC24N,N352,O,N,,,,AA,13
big rain,NC24N,N352,O,N,natural, ,,AA,13
washing rain,NC25N,N353,O,N,,,,AA,14
heavy rain,NC25N,N353,O,N,,,,AA,14
gully washer,NC25N,N353,O,Y,,SUG,,AA,14
heavy rain,NC36N,N381,O,N,,,,AA,15
big rain,NC38N,N385,O,N,,,,AA,16
hard rain,NC52N,N429,O,N,,,,AA,17
hard falling down rain,SC6N,N208,O,N,,,,AA,18
NR,SC7N,N209,,N,,,,AA,19
heavy shower,SC11N,N213,O,N,,,,AA,20
cloudburst,SC11N,N213,N,N,severe,,,AA,20
squall,SC11M!,2N213!,N,N,,,,AA,21
thundersquall,SC11M!,2N213!,N,N,"rain, wind, lightning",,,AA,21
heavy rain,SC11M!,2N213!,O,N,,,,AA,21
cloudburst,SC11M!,2N213!,N,N,,,,AA,21
down pour,SC11M!,2N213!,O,N,,,,AA,21
gully washer,SC16N,N217,O,N,water running across the fields,,,AA,22
hard mild rain,SC16N,N217,O,N,,,,AA,22
squash up,SC16N,N217,O,N,,,,AA,22
wash up,SC16N,N217,O,N,,,,AA,22
soak,SC16N,N217,V,N,,,,AA,22
shower,SC18N,N219,N,N,,,,AA,23
heavy shower,SC18N,N219,O,N,,,,AA,23
rain storm,SC18N,N219,O,N,,,,AA,23
squall,SC18N,N219,N,N,"""heavy weather that make up and go over kind of quick"" ",,,AA,23
heavy weather that make up and go over kind of quick,SC18N,N219,E,N, ,,,AA,23
NR,SC19N,N220,,N,,,,AA,24
NR,SC22N,N223,,N,,,,AA,25
bottom drop out,SC24N,N225,E,N,,,,AA,26
bottom drop out,SC24N,N225,E,Y,,INA,,AA,26
heavy rain,SC24N,N225,O,N,,,,AA,26
pour down,SC24N,N225,E,N,,,,AA,26
cloudburst,SC24N,N225,N,N,,,,AA,26
gully washer,SC24N,N225,O,N,,,,AA,26
hard shower,SC38N,N239,O,N,,,,AA,27
hard shower,SC38N,N239,O,N,,,,AA,27
big rain,SC38N,N239,O,N,,,,AA,27
gully washer,SC38N,N239,O,N,,,,AA,27
trash mover,SC38N,N239,O,N,,,,AA,27
heavy rain,SC38N,N239,O,N,,CNV,,AA,27
cloudburst,SC38N,N239,N,N,,,,AA,27
downpour,SC38N,N239,N,N,,,,AA,27
flood,SC38N,N239,N,N,,,,AA,27
cloudburst,SC38N,N239,N,N,,,,AA,27
hard shower,SC42N,N243,O,N,,,,AA,28
pour down,SC42N,N243,O,N,,,,AA,28
pour down,SC42N,N243,O,N,,,,AA,28
downpour,SC42N,N243,N,N,,,,AA,28
downpour,SC42N,N243,N,N,,,,AA,28
downpour,SC42N,N243,N,N,,,,AA,28
gully washer,SC42N,N243,O,N,,,,AA,28
gully washer,SC42N,N243,O,N,,,,AA,28
NR,SC42M,N243X,,N,,,,AA,29
down pour,GA1N,N246,O,N,,,,AA,30
NR,GA2N,N247,,N,,,,AA,31
big rain,GA4N,N249,O,N,,,,AA,32
cloudburst,GA4N,N249,N,N,,SUG/HRD,,AA,32
pour down rain,GA4N,N249,O,N,,,,AA,32
squall,GA4N,N249,N,N,quick,,,AA,32
cloudburst,GA11N,N258A,N,N,,,,AA,33
hard rain,GA17N,N264,O,N,,,,AA,34
hard rain,GA17N,N264,O,N,,,,AA,34
down pour,GA17N,N264,O,Y,,SUG,,AA,34
down pour,GA17N,N264,O,N,, ,,AA,34
heavy rain,GA24N,N269,O,N,,,,AA,35
heavy rain,GA24N,N269,O,N,,,,AA,35
shower,GA25N,N269A,N,N,,,,AA,36
big rain,GA34N,N273,O,N,,,,AA,37
flood,GA34N,N273,N,N,,,,AA,37
flood,GA34N,N273,N,N,,,,AA,37
cloudbursters,GA34N,N273,N,N,,,,AA,37
tornado,GA34N,N273,N,N,,,,AA,37
cyclone,GA34N,N273,N,N,,,,AA,37
shower,GA35N,N273A,N,N,,,,AA,38
real heavy rain,GA36N,N274A,O,N,,,,AA,39
washout,GA36N,N274A,N,N,,,,AA,39
gully washer,GA36N,N274A,O,N,,,,AA,39
rain,GA37N,2N274,N,N,,,,AA,40
storm,GA37N,2N274,N,N,,,,AA,40
flash shower,GA37M!,NC274,O,N,,,,AA,41
flash shower,GA37M!,NC274,O,N,,,,AA,41
hard rain,GA37M!,NC274,O,N,,,,AA,41
heavy weather,SC45GA,,O,N,,,,AA,42
very hard shower,SC45GB,,O,N,,,,AA,43
we had a big floodering,SC45GC,,S,N, ,,,AA,44
we had a big shower,SC45GC,,S,N,"The word 'big' is almost ""big"" ",,,AA,44
big,SC45GC,,A,Y, ,INA,,AA,44
it rain down craw fish,SC45GC,,S,N,it rained hard,,,AA,44
it rain down poggy-woggy,SC45GC,,S,N,these are little black fish,,,AA,44
it rain hard,SC46GA,,S,N,,,,AA,45
we have a shower,SC46GA,,S,N,,,,AA,45
downfall,SC46GA,,N,N,,,,AA,45
death rain,SC46GB,,O,N,"short, hard rain",,,AA,46
cloudburst,SC46GC,,N,Y,,HRD/OLD,,AA,47
showers,SC46GC,,N,N,,,,AA,47
shower,SC47GA,,N,N,,,,AA,48
heavy weather,SC47GA,,O,N,,,,AA,48
it rain very hard,SC47GB,,S,N,,,,AA,49
it's a hard rain,SC47GC,,S,N,,,,AA,50
the cloud look like it's bustin,SC47GC,,S,Y,,REP,,AA,50
heavy rain,SC48GA,,O,N,,,,AA,51
it rain hard today,SC48GB,,S,N,,,,AA,52
floodering,SC48GC,,V,N,,,,AA,53
heavy shower,GA45GA,,O,N,,,,AA,54
hard shower,GA45GB,,O,N,,,,AA,55
heavy rain,GA45GC,,O,N,,,,AA,56
heavy shower,GA45GC,,O,Y,,SUG,,AA,56
shower,GA47GA,,N,N,,,,AA,57
hard shower,GA47GB,,O,N,,,,AA,58
shower,GA47GC,,N,N,,,,AA,59
shower,GA48GA,,N,N,,,,AA,60
death shower,GA48GB,,O,N,a death shower,,,AA,61
heavy shower,GA48GC,,O,N,,,,AA,62
