NR,MD9N,N46, ,N, , , ,AA,1
NR,MD22N,N77, ,N, , , ,AA,2
poor white man,MD22M,N78,O,N, , , ,AA,3
poor white people,VA4N,N109,O,N, , , ,AA,4
poor white trash,VA4N,N109,O,Y,"not polite, not used",SUG, ,AA,4
thin people,VA4N,N109,O,N,euphemism, , ,AA,4
poor white trash,VA12N,N131,O,N, , , ,AA,5
NR,VA15N,N139(*), ,N, , , ,AA,6
poor scrub,VA21N,N153,O,N, , , ,AA,7
poor white,VA21N,N153,O,N, , , ,AA,7
cracker,VA21N,N153,N,Y,=a poor person who is mean,SUG, ,AA,7
poor reb,VA43N,N195,O,N, , , ,AA,8
NR,VA46N,N207, ,N, , , ,AA,9
NR,VA59N,N241, ,N, , , ,AA,10
poor tacky,NC8N,N317,O,N, , , ,AA,11
poor buckra,NC14N,N331,O,N, , , ,AA,12
buckra,NC24N,N352,N,N,=white, , ,AA,13
poor buckra,NC24N,N352,O,N,= poor white, , ,AA,13
gillian,NC24N,N352,N,Y,=white,DDT/SIC, ,AA,13
NR,NC25N,N353, ,N, , , ,AA,14
poor buckra,NC36N,N381,O,N, , , ,AA,15
cracker,NC38N,N385,N,Y,"poor white, this is modern here",NEW, ,AA,16
poor white trash,NC38N,N385,O,N, , , ,AA,16
poor buckra,NC52N,N429,O,N, , , ,AA,17
NR,SC6N,N208, ,N, , , ,AA,18
white folks,SC7N,N209,O,N, ,CNV, ,AA,19
trash,SC7N,N209,N,N, , , ,AA,19
NR,SC11N,N213, ,N, , , ,AA,20
upper crust,SC11M!,2n213!,O,N,any white man, , ,AA,21
buckra,SC11M!,2n213!,N,N,any white man, , ,AA,21
crackers,SC11M!,2n213!,N,N, , , ,AA,21
pecker,SC11M!,2n213!,N,N,general for white man, , ,AA,21
low trash,SC11M!,2n213!,O,N, , , ,AA,21
poor buckra,SC11M!,2n213!,O,N, , , ,AA,21
poor people,SC16N,N217,O,N,white or colored,CNV, ,AA,22
poor buckra,SC16N,N217,O,N, , , ,AA,22
poor buckra,SC18N,N219,O,N,heard all my life, , ,AA,23
white man,SC18N,N219,O,N, ,CNV, ,AA,23
crackers,SC18N,N219,N,N, ,CNV, ,AA,23
cracker,SC18N,N219,N,N, , , ,AA,23
NR,SC19N,N220, ,N, , , ,AA,24
NR,SC22N,N223, ,N, , , ,AA,25
NR,SC24N,N225, ,N, , , ,AA,26
white people,SC38N,N239,O,N, ,CNV, ,AA,27
white people,SC38N,N239,O,N, ,CNV, ,AA,27
common man,SC38N,N239,O,N,"=uneducated, no account", , ,AA,27
poor trash,SC38N,N239,O,N, , , ,AA,27
roughnecks,SC38N,N239,N,N, , , ,AA,27
crackers,SC38N,N239,N,Y,,OLD, ,AA,27
poor buckra,SC38N,N239,O,Y, ,HRD, ,AA,27
crackers,SC42N,N243,N,N, , , ,AA,28
buckra,SC42N,N243,N,N, , , ,AA,28
buckra,SC42N,N243,N,N, , , ,AA,28
poor white trash,SC42N,N243,O,N, , , ,AA,28
common old cur,SC42N,N243,O,Y, ,AMS, ,AA,28
NR,SC42M,N243X , , , , , ,AA,29
common,GA1N,N246,N,N,"""don't care how they are or what they say"" ", , ,AA,30
no good person,GA1N,N246,O,N, , , ,AA,30
whitey,GA1N,N246,N,N, , , ,AA,30
redneck,GA1N,N246,N,N, , , ,AA,30
white trash,GA1N,N246,O,N, , , ,AA,30
white folks,GA2N,N247,O,Y,difficult-- suspicion evident!!,AUX/CNV, ,AA,31
NR,GA4N,N249, ,N, , , ,AA,32
white,GA11N,N258A,N,N, , , ,AA,33
white man,GA11N,N258A,O,N, , , ,AA,33
poor white,GA17N,N264,O,N, , , ,AA,34
poor cracker,GA17N,N264,O,N,way back, , ,AA,34
poor cracker,GA17N,N264,O,N, , , ,AA,34
poor buckra,GA17N,N264,O,N, , , ,AA,34
poor white,GA17N,N264,O,N,negros say, , ,AA,34
common,GA17N,N264,N,N, , , ,AA,34
poor buckra,GA17N,N264,O,Y, ,HRD, ,AA,34
white,GA24N,N269,N,N, , , ,AA,35
white people,GA24N,N269,O,N, , , ,AA,35
crackers,GA24N,N269,N,N, , , ,AA,35
common,GA24N,N269,N,N, ,CNV, ,AA,35
poor class of people,GA24N,N269,O,N, , , ,AA,35
common but nice,GA25N,N269A,K,Y,black or white,DDT, ,AA,36
common land,GA34N,N273,O,N, , , ,AA,37
outlaws,GA35N,N273A,N,N, , , ,AA,38
cracker,GA35N,N273A,N,N, , , ,AA,38
poor white people,GA36N,N274A,O,N, , , ,AA,39
white,GA36N,N274A,N,N, , , ,AA,39
common people,GA36N,N274A,O,N,not derogatory, , ,AA,39
white people,GA37N,2N274,O,N, , , ,AA,40
poor people,GA37N,2N274,O,N, , , ,AA,40
crackers,GA37N,2N274,N,N, , , ,AA,40
poor crackers,GA37N,2N274,O,N, , , ,AA,40
common,GA37N,2N274,N,N,derogatory, , ,AA,40
common people,GA37N,2N274,O,N,*****, , ,AA,40
hillbilly,GA37M!,NC274,N,N, , , ,AA,41
hillbilly,GA37M!,NC274,N,N, , , ,AA,41
peckerwood,GA37M!,NC274,N,N, , , ,AA,41
peckerwood,GA37M!,NC274,N,N, , , ,AA,41
peckerwood,GA37M!,NC274,N,N, , , ,AA,41
peckerwood,GA37M!,NC274,N,N, , , ,AA,41
peckerwood,GA37M!,NC274,N,N, , , ,AA,41
peckerwood,GA37M!,NC274,N,N,most likely excluding negro, , ,AA,41
redneck,GA37M!,NC274,N,N, , , ,AA,41
redneck,GA37M!,NC274,N,N, , , ,AA,41
white trash,GA37M!,NC274,O,N, , , ,AA,41
white trash,GA37M!,NC274,O,N, , , ,AA,41
NR,SC45GA, , ,N, , , ,AA,42
NR,SC45GB, , ,N, , , ,AA,43
NR,SC45GC, , ,N, , , ,AA,44
NR,SC46GA, , ,N, , , ,AA,45
NR,SC46GB, , ,N, , , ,AA,46
NR,SC46GC, , ,N, , , ,AA,47
NR,SC47GA, , ,N, , , ,AA,48
NR,SC47GB, , ,N, , , ,AA,49
NR,SC47GC, , ,N, , , ,AA,50
NR,SC48GA, , ,N, , , ,AA,51
NR,SC48GB, , ,N, , , ,AA,52
NR,SC48GC, ,,N, ,, ,AA,53
NR,GA45GA, , ,N, , , ,AA,54
NR,GA45GB, , ,N, , , ,AA,55
NR,GA45GC, , ,N, , , ,AA,56
NR,GA47GA, , ,N, , , ,AA,57
NR,GA47GB, , ,N, , , ,AA,58
NR,GA47GC, , ,N, , , ,AA,59
NR,GA48GA, , ,N, , , ,AA,60
NR,GA48GB, ,,N, ,, ,AA,61
NR,GA48GC, , ,N, , , ,AA,62
