coffin,MD9N,N46,N,N, , , ,AA,1
coffin,MD22N,N77,N,N, , , ,AA,2
coffin,MD22M,N78,N,N, , , ,AA,3
NR,VA4N,N109,,N, , , ,AA,4
coffin,VA12N,N131,N,N, , , ,AA,5
NR,VA15N,N139(*),,N, , , ,AA,6
coffin,VA21N,N153,N,N, , , ,AA,7
casting,VA21N,N153,N,Y,modern,NEW, ,AA,7
caslet,VA43N,N195,N,N, , , ,AA,8
coffin,VA43N,N195,N,N, , , ,AA,8
coffin,VA46N,N207,N,N, , , ,AA,9
coffin,VA59N,N241,N,N, , , ,AA,10
casket,VA59N,N241,N,Y, ,NEW, ,AA,10
coffin,NC8N,N317,N,N, , , ,AA,11
coffin,NC14N,N331,N,N, , , ,AA,12
coffin,NC24N,N352,N,N, , , ,AA,13
coffin,NC25N,N353,N,N, , , ,AA,14
casket,NC25N,N353,N,N, , , ,AA,14
coffin,NC36N,N381,N,N, , , ,AA,15
coffin,NC38N,N385,N,N, , , ,AA,16
coffin,NC52N,N429,N,N, , , ,AA,17
coffin,SC6N,N208,N,N, , , ,AA,18
casket,SC6N,N208,N,Y, ,NEW, ,AA,18
box,SC6N,N208,N,N, ,, ,AA,18
pinto,SC6N,N208,N,Y,"don't ""hear about it now"" ",OLD, ,AA,18
hear about it now,SC6N,N208,E,Y,,INA, ,AA,18
box,SC7N,N209,N,N, , , ,AA,19
box,SC7N,N209,N,N, ,CNV, ,AA,19
coffin shop,SC7N,N209,O,Y, ,INA, ,AA,19
pinto,SC7N,N209,N,N,crude coffin,, ,AA,19
coffin,SC11N,N213,N,N, , , ,AA,20
casket,SC11N,N213,N,Y, ,NEW, ,AA,20
casket,SC11M!,2n213!,N,N, , , ,AA,21
coffin,SC11M!,2n213!,N,N, , , ,AA,21
pinto,SC11M!,2n213!,N,N,includes drawing, , ,AA,21
pintos,SC11M!,2n213!,N,N,don't see many [pintos] now, , ,AA,21
toothpick,SC16N,N217,N,N, , , ,AA,22
coffin,SC16N,N217,N,N, ,, ,AA,22
casket,SC16N,N217,N,N, ,, ,AA,22
box,SC16N,N217,N,Y, ,OLD, ,AA,22
pinto,SC16N,N217,N,Y,similar to a toothpick,HRD, ,AA,22
coffin,SC18N,N219,N,Y, ,OLD, ,AA,23
box,SC18N,N219,N,N, ,CNV, ,AA,23
casket,SC18N,N219,N,Y, ,NEW, ,AA,23
casket,SC18N,N219,N,N, , , ,AA,23
NR,SC19N,N220,,N, , , ,AA,24
NR,SC22N,N223,,N, , , ,AA,25
coffin,SC24N,N225,N,N, , , ,AA,26
faults,SC24N,N225,N,Y, ,INA/DDT, ,AA,26
chest,SC24N,N225,N,Y, ,NEW, ,AA,26
pinto,SC24N,N225,N,N,"sharp on each end, kind of wide in middle",, ,AA,26
coffin,SC38N,N239,N,N, , , ,AA,27
coffin,SC38N,N239,N,N, , , ,AA,27
casket,SC38N,N239,N,Y, ,NEW, ,AA,27
chest,SC38N,N239,N,N, ,, ,AA,27
box,SC38N,N239,N,N, ,, ,AA,27
box,SC38N,N239,N,N, ,, ,AA,27
casket,SC42N,N243,N,N, , , ,AA,28
coffin,SC42N,N243,N,N, , , ,AA,28
coffin,SC42N,N243,N,N, , , ,AA,28
coffin,SC42N,N243,N,N, , , ,AA,28
coat with wooden handles,SC42N,N243,O,N, , , ,AA,28
box,SC42M,N243X,N,N, ,CNV, ,AA,29
casket,GA1N,N246,N,N, , , ,AA,30
coffin,GA1N,N246,N,N, , , ,AA,30
pinto,GA1N,N246,N,N,cheap, , ,AA,30
NR,GA2N,N247,,N, , , ,AA,31
coffin,GA4N,N249,N,Y, ,OLD, ,AA,32
casket,GA4N,N249,N,Y, ,NEW/SIC, ,AA,32
coffin,GA11N,N258A,N,N, , , ,AA,33
casket,GA11N,N258A,N,Y, ,NEW, ,AA,33
casket,GA17N,N264,N,N, , , ,AA,34
casket,GA17N,N264,N,N, , , ,AA,34
casket,GA17N,N264,N,N, , , ,AA,34
coffin,GA24N,N269,N,N, , , ,AA,35
coffin,GA25N,N269A,N,N, , , ,AA,36
NR,GA34N,N273,,N, , , ,AA,37
casket,GA35N,N273A,N,N, , , ,AA,38
casket,GA36N,N274A,N,N, , , ,AA,39
NR,GA37N,2N274,,N, , , ,AA,40
casket,GA37M!,NC274,N,N, , , ,AA,41
casket,GA37M!,NC274,N,N, , , ,AA,41
casket,SC45GA, ,N,N, , , ,AA,42
coffin,SC45GA, ,N,N, , , ,AA,42
pinto,SC45GA, ,N,N, , , ,AA,42
casket,SC45GB, ,N,N, , , ,AA,43
coffin,SC45GB, ,N,N, , , ,AA,43
false box,SC45GB, ,O,N,the case in which the coffin is placed, , ,AA,43
pinto,SC45GB, ,N,N,a coffin made of plain boards, , ,AA,43
casket,SC45GC, ,N,N, , , ,AA,44
pinto,SC45GC, ,N,N,a box made smaller at the foot than at the head; the poorest islanders who cannot afford a coffin are buried in a pinto, , ,AA,44
false box,SC45GC, ,O,N,a plain wooden box similar to the case into which the casket is put, , ,AA,44
coffin,SC45GC, ,N,N,, , ,AA,44
coffin,SC46GA, ,N,N, , , ,AA,45
false box,SC46GA, ,O,N,the wooden case in which the coffin is placed, , ,AA,45
pinto,SC46GA, ,N,N,a cheap coffin made of plain boards.  The entire expense of a burial with pinto is not more than thirty dollars., , ,AA,45
shroud,SC46GA, ,N,Y,,INA, ,AA,45
casket,SC46GB, ,N,N, , , ,AA,46
false box,SC46GB, ,O,N,the case or box in which the casket is placed, , ,AA,46
pinto,SC46GB, ,N,N,a cheap coffin made of plain boards, , ,AA,46
casket,SC46GC, ,N,N, , , ,AA,47
coffin,SC46GC, ,N,N, , , ,AA,47
pinto,SC46GC, ,N,N, , , ,AA,47
casket,SC47GA, ,N,N, , , ,AA,48
false box,SC47GA, ,O,N, , , ,AA,48
pinto,SC47GA, ,N,N, , , ,AA,48
coffin,SC47GB, ,N,N, , , ,AA,49
pinto,SC47GB, ,N,N, , , ,AA,49
coffin,SC47GC, ,N,N, , , ,AA,50
box,SC47GC, ,N,N, , , ,AA,50
casket,SC47GC, ,N,N, , , ,AA,50
pinto,SC47GC, ,N,N, , , ,AA,50
coffin,SC48GA, ,N,N, , , ,AA,51
casket,SC48GA, ,N,N, , , ,AA,51
pinto,SC48GA, ,N,N, , , ,AA,51
case,SC48GA, ,N,N, , , ,AA,51
coffin,SC48GB, ,N,N, , , ,AA,52
box,SC48GB, ,N,N, , , ,AA,52
casket,SC48GB, ,N,N, , , ,AA,52
casket,SC48GC, ,N,N, , , ,AA,53
coffin,SC48GC, ,N,N, , , ,AA,53
box,SC48GC, ,N,N, , , ,AA,53
pinto,SC48GC, ,N,N,"an almost ""oval"" shaped coffin made of plain boards", , ,AA,53
oval,SC48GC, ,A,Y,,INA, ,AA,53
casket,GA45GA, ,N,N, , , ,AA,54
coffin,GA45GA, ,N,Y, ,REP, ,AA,54
false box,GA45GA, ,O,N,the case in which the coffin is placed,, ,AA,54
casket,GA45GB, ,N,N, , , ,AA,55
box,GA45GB, ,N,Y, ,REP, ,AA,55
casket,GA45GC, ,N,N, , , ,AA,56
coffin,GA45GC, ,N,Y, ,REP, ,AA,56
false box,GA45GC, ,O,N,case in which the coffin is placed,, ,AA,56
rough box,GA45GC, ,O,N,case in which the coffin is placed,, ,AA,56
casket,GA47GA, ,N,N, , , ,AA,57
box,GA47GA, ,N,Y, ,REP, ,AA,57
casket,GA47GB, ,N,N, , , ,AA,58
box,GA47GB, ,N,Y, ,REP, ,AA,58
coffin,GA47GB, ,N,N, ,, ,AA,58
casket,GA47GC, ,N,N, , , ,AA,59
coffin,GA47GC, ,N,Y, ,REP, ,AA,59
box,GA47GC, ,N,N, ,, ,AA,59
casket,GA48GA, ,N,N, , , ,AA,60
false box,GA48GA, ,O,Y, ,REP, ,AA,60
casket,GA48GB, ,N,N, , , ,AA,61
