yes indeed,MD9N,N46,K,N, , , ,AA,1
indeed I do,MD22N,N77,S,N, , , ,AA,2
yes indeed,MD22N,N77,K,N, , , ,AA,2
yes indeed,MD22M,N78,K,N, , , ,AA,3
indeed I do,MD22M,N78,S,N, , , ,AA,3
indeed is it,MD22M,N78,S,N, , , ,AA,3
certainly,VA4N,N109,B,N, , , ,AA,4
indeed I do,VA4N,N109,S,N, , , ,AA,4
yes indeed,VA12N,N131,K,N, , , ,AA,5
indeed I do,VA12N,N131,S,N, , , ,AA,5
NR,VA15N,N139(*), ,N, , , ,AA,6
certainly,VA21N,N153,B,N, , , ,AA,7
that I do,VA21N,N153,S,N, , , ,AA,7
certainly,VA43N,N195,B,N, , , ,AA,8
sure certain,VA46N,N207,K,N, , , ,AA,9
sure,VA59N,N241,A,N, , , ,AA,10
certain,VA59N,N241,A,N, , , ,AA,10
you bet,VA59N,N241,E,N, , , ,AA,10
course,VA59N,N241,B,N, , , ,AA,10
yes indeed,VA59N,N241,K,N, , , ,AA,10
certain,NC8N,N317,A,N, , , ,AA,11
that I do,NC8N,N317,S,N, , , ,AA,11
certainly,NC14N,N331,B,N, , , ,AA,12
that I would,NC14N,N331,S,N, , , ,AA,12
certain,NC24N,N352,A,N, , , ,AA,13
sure,NC25N,N353,A,N, , , ,AA,14
certainly,NC25N,N353,B,N, , , ,AA,14
certainly,NC36N,N381,B,N, , , ,AA,15
certainly,NC38N,N385,B,N, , , ,AA,16
that I would,NC38N,N385,S,N, , , ,AA,16
certainly,NC52N,N429,B,N, , , ,AA,17
sure thing,SC6N,N208,O,N, ,CNV, ,AA,18
that's right,SC6N,N208,S,N, ,CNV, ,AA,18
oh yeah,SC6N,N208,K,N, ,DDT/CNV, ,AA,18
certainly,SC7N,N209,B,N, , , ,AA,19
sure,SC7N,N209,A,N, ,CNV, ,AA,19
sure right,SC7N,N209,K,N, ,CNV, ,AA,19
sure,SC7N,N209,A,N, ,CNV, ,AA,19
certainly,SC11N,N213,B,N, , , ,AA,20
sure,SC11N,N213,A,N, , , ,AA,20
oh yeah,SC11M!,2n213!,K,Y, ,DDT/CNV, ,AA,21
all right,SC11M!,2n213!,K,N, ,CNV, ,AA,21
oh yeah,SC11M!,2n213!,K,Y, ,DDT/CNV, ,AA,21
sure,SC11M!,2n213!,A,N, ,CNV, ,AA,21
that's right,SC11M!,2n213!,O,N, ,CNV, ,AA,21
oh yeah,SC11M!,2n213!,K,Y, ,DDT/CNV, ,AA,21
