"fat lightwood knot",SC11NA," ",O,Y,,INA," ",AA,42
"pine trash",SC11NC," ",O,Y,"pine needles",INA," ",AA,44
loblolly,SC11NC," ",N,Y,"wood too wet to burn",INA/DDT," ",AA,44
lightwood,SC12NA," ",N,Y,,INA," ",AA,45
"fat lightwood",SC12NA," ",O,Y,,INA," ",AA,45
trash,SC12NA," ",N,Y,,INA," ",AA,45
manure,SC12NA," ",N,Y,,INA," ",AA,45
"The truth must be spoken for the truth sake: we used to call that counterfeit things",SC12NB," ",S,Y,,INA," ",AA,46
lightwood,SC12NB," ",N,Y,,INA," ",AA,46
trash,SC12NB," ",N,Y,,INA," ",AA,46
manure,SC12NB," ",N,Y,,INA," ",AA,46
manure,SC13NA," ",N,Y,,INA," ",AA,48
"pie trash",SC13NB," ",N,Y,,INA," ",AA,49
manure,SC13NB," ",N,Y,,INA," ",AA,49
trash,SC18NB," ",N,Y,,INA," ",AA,52
mash,SC18NB," ",N,Y,,INA," ",AA,52
trash,SC18NC," ",N,Y,,INA," ",AA,53
mash,SC18NC," ",N,Y,,INA," ",AA,53
