"trip them time",GA2N,N247,N,Y," ",AUX/CNV/INA," ",AA,31
"pine trees",GA25N,N269A,O,Y," ",INA," ",AA,36
"white oak",GA25N,N269A,O,Y," ",INA," ",AA,36
pecan,GA25N,N269A,N,Y," ",INA," ",AA,36
"chinaberry trees",GA25N,N269A,O,Y," ",INA," ",AA,36
blackgum,GA25N,N269A,N,Y," ",INA," ",AA,36
pine,GA34N,N273,N,Y," ",INA," ",AA,37
poisonous,GA36N,N274A,N,Y," ",INA," ",AA,39
"pecan farm",GA37N,2N274,O,Y," ",INA," ",AA,40
"prickly ash",SC18NC," ",O,Y," ",INA," ",AA,53
chinaberry,GA3NA," ",N,Y," ",INA," ",AA,54
"live oak",GA4NB," ",O,Y,"has green, narrow leaf.",INA," ",AA,58
"water oak",GA4NB," ",O,Y,"bears a plum-like fruit that is edible. The leaf is smoother and larger than that of the live oak.",INA," ",AA,58
"ash tree",GA4NC," ",O,Y," ",INA," ",AA,59
