"I is",SC7N,N209,E,Y,,INA/CNV,,AA,19
"I different from most people",SC18N,N219,S,Y,,INA/CNV,,AA,23
"they all about the same",SC42N,N243,S,Y,,INA/CNV,,AA,28
"he born",SC42N,N243,S,Y,"(he was born)",INA/CNV,,AA,28
"they stomping",GA11N,N258A,E,Y,,INA,,AA,33
"we glad",GA11N,N258A,S,Y,,INA,,AA,33
"we have to",GA11N,N258A,S,Y,,INA,,AA,33
"he careful he living",GA24N,N269,E,Y,,INA,,AA,35
"that  ***",GA24N,N269,E,Y,,INA/DDT,,AA,35
"and the sun coming out",GA24N,N269,S,Y,,INA/DDT,,AA,35
"the sun rising",GA24N,N269,E,Y,,INA,,AA,35
