thems,SC11N,N213,M,Y,,INA," ",AA,20
"them suit",SC16N,N217,O,Y," ",INA/CNV," ",AA,22
"those rail fences",SC18N,N219,O,Y," ",INA," ",AA,23
"put them milk",SC18N,N219,E,Y," ",INA/CNV," ",AA,23
"them girls",GA11N,N258A,O,Y,,INA," ",AA,33
"them houses",GA11N,N258A,O,Y," ",INA," ",AA,33
"them blouses",GA11N,N258A,O,Y," ",INA/CNV," ",AA,33
"them days",GA24N,N269,O,Y," ",INA," ",AA,35
"them thems",GA24N,N269,O,Y," ",INA," ",AA,35
"them boats",GA24N,N269,O,Y," ",INA/CNV," ",AA,35
"those ***",GA25N,N269A,O,Y," ",DDT/INA," ",AA,36
"them places",GA34N,N273,O,Y," ",INA/CNV," ",AA,37
"them three creeks",GA34N,N273,O,Y," ",INA/CNV," ",AA,37
"them kinds of tales",GA35N,N273A,O,Y," ",INA/CNV," ",AA,38
"all those things",GA35N,N273A,O,Y," ",INA," ",AA,38
"those things",GA35N,N273A,O,Y," ",INA/CNV," ",AA,38
"them berries",GA35N,N273A,O,Y," ",INA," ",AA,38
