hazelnut,GA34N,N273,N,Y," ",INA," ",AA,37
"mareshi tree",SC11NA," ",O,Y," ",INA/DDT," ",AA,42
"mareshi tree",SC11NA," ",O,Y," ",INA/DDT," ",AA,42
"mareshi tree",SC11NA," ",O,Y," ",INA/DDT," ",AA,42
"casino tree",SC11NA," ",O,Y," ",INA," ",AA,42
"casino tree",SC11NA," ",O,Y," ",INA," ",AA,42
"water oak",SC11NA," ",O,Y,"this tree will not split",INA," ",AA,42
"tupelo tree",SC11NA," ",O,Y,"has a leaf that is green on one side and white on the bottom.",INA," ",AA,42
"eshiberry tree",SC12NA," ",O,Y," ",INA," ",AA,45
"chinaberry tree",SC12NA," ",O,Y," ",INA," ",AA,45
"chinaberry bush",SC12NA," ",O,Y," ",INA," ",AA,45
"casinoberry bush",SC12NA," ",O,Y," ",INA," ",AA,45
"chainy briar bush",SC12NC," ",O,Y," ",INA/DDT," ",AA,47
"casino bush",SC12NC," ",O,Y," ",INA," ",AA,47
"christmas berry bush",SC12NC," ",O,Y," ",INA," ",AA,47
"itchy berry tree",SC18NC," ",O,Y," ",INA," ",AA,53
"casino tree",SC18NC," ",O,Y," ",INA," ",AA,53
"casino bush",SC18NC," ",O,Y," ",INA," ",AA,53
