"that enough",SC11NA," ",E,Y," ",INA," ",AA,42
"that's enough",SC11NB," ",S,Y," ",INA," ",AA,43
"that's enough",SC11NC," ",S,Y," ",INA," ",AA,44
"that's enough",SC12NA," ",S,"Y "," ",INA," ",AA,45
"that's enough",SC12NB," ",S,Y," ",INA," ",AA,46
"that's enough",SC12NC," ",S,Y," ",INA," ",AA,47
"that's enough",SC13NA," ",S,"Y "," ",INA," ",AA,48
"that's enough",SC13NB," ",S,Y," ",INA," ",AA,49
"that's enough",SC13NC," ",S,Y," ",INA," ",AA,50
"that's enough",SC18NA," ",S,Y," ",INA," ",AA,51
"that's enough",SC18NB," ",S,Y," ",INA," ",AA,52
"that's enough",SC18NC," ",S,Y," ",INA," ",AA,53
"that's enough",GA3NA," ",S,Y," ",INA," ",AA,54
"that's enough",GA3NB," ",S,"Y "," ",INA," ",AA,55
"that's enough",GA3NC," ",S,Y," ",INA," ",AA,56
"that's enough",GA4NA," ",S,Y," ",INA," ",AA,57
"that's enough",GA4NB," ",S,Y," ",INA," ",AA,58
"that's enough",GA4NC," ",S,Y," ",INA," ",AA,59
"that's enough",GA5NA," ",S,Y," ",INA," ",AA,60
"that's enough",GA5NB," ",S,Y," ",INA," ",AA,61
"that's enough",GA5NC," ",S,Y," ",INA," ",AA,62
"that's enough",GA5NC," ",S,Y," ",INA," ",AA,62
