July,SC24N,N225,N,Y,,INA/CNV,,AA,26
March,SC11NC,,N,Y,,INA,,AA,44
May,SC11NC,,N,Y,"[e] in May is very tense",INA,,AA,44
June,SC11NC,,N,Y,,INA,,AA,44
July,SC11NC,,N,Y,,INA,,AA,44
August,SC11NC,,N,Y,,INA,,AA,44
September,SC11NC,,N,Y,,INA,,AA,44
October,SC11NC,,N,Y,,INA,,AA,44
November,SC11NC,,N,Y,,INA,,AA,44
December,SC11NC,,N,Y,,INA,,AA,44
Thanksgiving,SC11NC,,N,Y,,INA,,AA,44
March,SC12NA,,N,Y,,INA,,AA,45
May,SC12NA,,N,Y,,INA,,AA,45
June,SC12NA,,N,Y,,INA,,AA,45
July,SC12NA,,N,Y,,INA,,AA,45
August,SC12NA,,N,Y,,INA,,AA,45
September,SC12NA,,N,Y,,INA,,AA,45
March,SC12NC,,N,Y,,INA,,AA,47
May,SC12NC,,N,Y,,INA,,AA,47
June,SC12NC,,N,Y,,INA,,AA,47
July,SC12NC,,N,Y,,INA,,AA,47
August,SC12NC,,N,Y,,INA,,AA,47
September,SC12NC,,N,Y,,INA,,AA,47
October,SC12NC,,N,Y,,INA,,AA,47
November,SC12NC,,N,Y,,INA,,AA,47
December,SC12NC,,N,Y,,INA,,AA,47
August,SC13NB,,N,Y,,INA,,AA,49
