road,SC7N,N209,N,Y," ",INA," ",AA,19
Savannah,SC38N,N239,N,Y," ",INA/CNV," ",AA,27
Mountville,SC42N,N243,N,Y,"Home of one of the long-time boarders at the house where May works.",INA," ",AA,28
Aiken,GA1N,N246,N,Y," ",INA," ",AA,30
Savannah,GA24N,N269,N,Y," ",INA," ",AA,35
Savannah,GA37N,2N274,N,Y," ",INA," ",AA,40
Columbia,GA37N,2N274,N,Y,S.C.,INA," ",AA,40
Beaufort,SC11NA," ",N,Y," ",INA," ",AA,42
Orangeburg,SC11NA," ",N,Y," ",INA," ",AA,42
Orangeburg,SC11NB," ",N,Y," ",INA," ",AA,43
Columbia,SC11NB," ",N,Y," ",INA," ",AA,43
Greenville,SC12NB," ",N,Y," ",INA," ",AA,46
Rockville,SC12NB," ",N,Y," ",INA," ",AA,46
Jacksonboro,SC13NA," ",N,Y," ",INA," ",AA,48
Seaside,SC13NA," ",N,Y,"A settlement on Edisto Island.",INA," ",AA,48
"Edisto Island",SC13NB," ",N,Y," ",INA," ",AA,49
"James Island",SC13NB," ",N,Y," ",INA," ",AA,49
"Adams Run",SC13NC," ",N,Y," ",INA," ",AA,50
Columbia,SC13NC," ",N,Y," ",INA," ",AA,50
Beaufort,SC18NA," ",N,Y,"South Carolina",INA," ",AA,51
Savannah,SC18NA," ",N,Y," ",INA," ",AA,51
Barnwell,SC18NA," ",N,Y," ",INA," ",AA,51
Beaufort,SC18NB," ",N,Y," ",INA," ",AA,52
Savannah,SC18NB," ",N,Y," ",INA," ",AA,52
Beaufort,SC18NC," ",N,Y," ",INA," ",AA,53
Savannah,SC18NC," ",N,Y," ",INA," ",AA,53
"Port Royal",SC18NC," ",N,Y," ",INA," ",AA,53
Savannah,GA3NA," ",N,Y," ",INA," ",AA,54
Darien,GA3NA," ",N,Y," ",INA," ",AA,54
Brunswick,GA3NA," ",N,Y," ",INA," ",AA,54
Macon,GA3NA," ",N,Y," ",INA," ",AA,54
Augusta,GA3NA," ",N,Y," ",INA," ",AA,54
Brunswick,GA3NB," ",N,Y," ",INA," ",AA,55
Darien,GA3NB," ",N,Y," ",INA," ",AA,55
Savannah,GA3NB," ",N,Y," ",INA," ",AA,55
Darien,GA3NC," ",N,Y," ",INA," ",AA,56
Waycross,GA3NC," ",N,Y," ",INA," ",AA,56
Savannah,GA3NC," ",N,Y," ",INA," ",AA,56
Brunswick,GA3NC," ",N,Y," ",INA/SIC," ",AA,56
Jacksonville,GA3NC," ",N,Y," ",INA," ",AA,56
Macon,GA4NA," ",N,Y," ",INA," ",AA,57
Savannah,GA4NA," ",N,Y," ",INA," ",AA,57
"New Jersey",GA4NA," ",N,Y," ",INA," ",AA,57
Texas,GA4NA," ",N,Y," ",INA," ",AA,57
Brunswick,GA4NA," ",N,Y," ",INA," ",AA,57
Milledgeville,GA4NA," ",N,Y," ",INA," ",AA,57
Brunswick,GA4NB," ",N,Y," ",INA," ",AA,58
Jacksonville,GA4NB," ",N,Y," ",INA," ",AA,58
Savannah,GA4NB," ",N,Y," ",INA," ",AA,58
Darien,GA4NB," ",N,Y," ",INA," ",AA,58
Savannah,GA4NC," ",N,Y," ",INA," ",AA,59
Brunswick,GA4NC," ",N,Y," ",INA," ",AA,59
Darien,GA4NC," ",N,Y," ",INA," ",AA,59
Savannah,GA5NA," ",N,Y," ",INA," ",AA,60
Brunswick,GA5NA," ",N,Y," ",INA," ",AA,60
Fernandino,GA5NA," ",N,Y," ",INA," ",AA,60
Darien,GA5NA," ",N,Y," ",INA," ",AA,60
Savannah,GA5NB," ",N,Y," ",INA," ",AA,61
Athens,GA5NB," ",N,Y," ",INA," ",AA,61
Augusta,GA5NB," ",N,Y," ",INA," ",AA,61
Valdosta,GA5NC," ",N,Y," ",INA," ",AA,62
Cedartown,GA5NC," ",N,Y," ",INA," ",AA,62
Rome,GA5NC," ",N,Y," ",INA," ",AA,62
Savannah,GA5NC," ",N,Y," ",INA," ",AA,62
