a actress,VA21A,153,O,N,,CNV,,MS,622
a old,VA23B,157,K,N,,,,MS,626
a old,VA54A,229,A,N,,,,MS,687
long sweetening,NC14B,332,N,Y,natural,OLD,,MS,759
short sweetening,NC14B,332,N,Y,,OLD/SUG,,MS,759
long sweetening,NC25B,354,N,N,molasses and honey,,,MS,788
a old,NC25B,354,A,N,,,,MS,788
long sweetening,NC32A,369,N,N,syrup and molasses,,,MS,803
short sweetening,NC32A,369,N,N,sugar,,,MS,803
a old,SC3A,205.1,A,Y,,SUG,,MS,893
long sweetening,SC11J!,213.10!,N,Y,,HRD,,MS,934
long sweetening,SC14A,215.1,K,N,syrup,,,MS,938
short sweetening,SC14A,215.1,K,N,,,,MS,938
long sweetening,SC19B,220.4,N,N,,,,MS,956
long sweetening,SC19B,220.4,N,N,syrup,,,MS,956
long sweetening,SC19C,220.2(*),N,N,= molasses,,,MS,957
short sweetening,SC19C,220.2(*),N,N,= sugar,,,MS,957
long sweetening,SC25A,226.1,N,Y,"sweeter= amount of sugar put into lemonade, etc.",SUG/HRD,,MS,980
short sweetening,SC25A,226.1,N,Y,,SUG/HRD,,MS,980
long sweetening,SC30A,231.1,N,N,syrup,,,MS,996
short sweetening,SC30A,231.1,N,N,,,,MS,996
long sweetening,SC32B,233.2,N,N,,,,MS,1002
long sweetening,SC39B!,240.2!,N,N,,,,MS,1027
short sweetening,SC39B!,240.2!,N,N,= sugar,,,MS,1027
long sweetening,SC41A,242.1,N,N,molasses,,,MS,1030
short sweetening,SC41A,242.1,N,N,short,,,MS,1030
long sweetening,SC44B,245.2,N,N,,,,MS,1043
long sweetening,GA3A,248.1,N,N,liquid,,,MS,1056
short sweetening,GA3A,248.1,N,N,sugar refined,,,MS,1056
long sweetening,GA15A,262.1,N,N,syrup,,,MS,1084
long sweetening,GA17,264,N,Y,,INA,,MS,1091
short sweetening,GA17,264,N,Y,,INA,,MS,1091
long sweetening,GA24A,269.1,N,N,syrup,,,MS,1109
short sweetening,GA24A,269.1,N,N,sugar,,,MS,1109
long sweetening,FL4,254A,N,N,equals molasses,,,MS,1160
short sweetening,FL4,254A,N,N,equals syrup,,,MS,1160
