marsh,NY1,50,N,N,"cranberries, no grass",-0-,mµ∞éÛ,MS,1
marsh,NY2A,51.1,N,N,"moss in it, fairly fresh or salt",-0-,m·∫Û,MS,2
marsh,NY2B,51.2,N,N,"cranberries, hay not mowed",-0-,mµ∫Û,MS,3
marsh,NY2B,51.2,N,Y,"natural; wild, cranberries, hay not mowed",OLD,m·∫Û,MS,3
marsh,NY2C,51.3,N,Y,"rushes, not used for anything,",SUG/OLD/RN1,mµ∫Û,MS,4
-0-,NY2C,51.3,-0-,-0-,on ocean or fresh lakes,RN2,-0-,MS,4
-0-,NY2C,51.3,-0-,-0-,on ocean or fresh lakes,RN2,-0-,MS,4
marsh,NY2C,51.3,N,Y,"rushes, not used for anything,",SUG/OLD/RN1,m·∫Û,MS,4
meadows,NY3A,401,N,N,salt,-0-,m≤ædoΩºπz,MS,5
meadows,NY3B,403,N,N,salt,-0-,m≤do›ºπ›z,MS,6
meadow,NY3C,402,N,N,salt marsh,-0-,m≤doΩºπ,MS,7
meadows,NY3D,404,N,N,salt,-0-,m≤doºπz,MS,8
salt meadows,NY4A,405,O,N,-0-,-0-,s∑Ω∫Ït$m≤æd∞z,MS,9
meadow,NY4B,407,N,N,salt,-0-,m≤d∞,MS,10
marsh,NY4C,408,N,N,-0-,-0-,mµæ:Û,MS,11
NR,NY5A,409,-0-,N,-0-,-0-,-0-,MS,12
marsh,NY5B,410,N,N,-0-,-0-,mµ:Û,MS,13
marsh,NY5C,411,N,N,-0-,-0-,mµæ∫Û,MS,14
marsh,NY5D,412,N,N,-0-,-0-,mﬁº:Û,MS,15
meadows,NY5E,413,N,N,salt,-0-,m≤doΩºπz,MS,16
meadows,NY5F,414,N,N,salt,-0-,m≤ædoΩºπz,MS,17
marsh,NY5G,415,N,N,salt,-0-,mﬁ:Û,MS,18
meadows,NY5H!,416!,N,N,-0-,-0-,m≤doîºπz,MS,19
marsh,NY5H!,416!,N,Y,some,SUG,mﬁº¥Û,MS,19
salt meadows,NY5H!,416!,O,N,-0-,-0-,s∑Ω∫Ït$m≤doîºπz,MS,19
marsh,NY5I!,417!,N,N,edge of tide,-0-,mµæ¥Û,MS,20
meadows,NY5I!,417!,N,N,"usually above tide, local term",-0-,m≤d¿›π›z,MS,20
meadow,NY6A,418,N,N,salt,-0-,m≤d∞,MS,21
meadow,NY6B,419,N,N,salt,-0-,m≤doΩºπ,MS,22
meadow,NY7A,420,N,N,salt,-0-,m≤do›Ωºπ›,MS,23
meadows,NY7B,421,N,N,salt,-0-,m≤doΩºπz,MS,24
meadow,NY7C,422,N,N,salt,-0-,m≤doΩºπ,MS,25
meadows,NY7D,423,N,N,-0-,-0-,m≤doΩºπz,MS,26
marsh,NY7E,424,N,N,salt,-0-,mµæ:Û,MS,27
marsh,NY7F,425,N,N,salt,-0-,mµæ:Û,MS,28
marsh,NY7G,426,N,N,salt,-0-,mµæ:Û,MS,29
marsh,NY7H,427,N,N,-0-,-0-,mﬁº∫Û,MS,30
marsh,NY7I,428,N,N,-0-,-0-,mﬁº:Û,MS,31
marsh,NY7J!,429!,N,N,same as meadow,-0-,mµæ∫Û,MS,32
meadows,NY7J!,429!,N,N,same as marsh,-0-,m≤doΩºπz,MS,32
marsh,NY7K!,430!,N,N,salt,-0-,mﬁº:Û,MS,33
meadow,NY7K!,430!,N,N,salt,-0-,m≤doºπ,MS,33
marsh,NY7L!,431!,N,N,-0-,-0-,mµæ:Û,MS,34
salt meadows,NY7L!,431!,O,N,-0-,-0-,s∑∫Ït$m≤d¿πz,MS,34
marsh,NY7M!,432!,N,N,-0-,-0-,mﬁº:Û,MS,35
meadow,NY8,432b,N,N,-0-,-0-,m≤doΩºπ,MS,36
marsh,NY8,432b,N,N,-0-,-0-,mµæ:Û,MS,36
marsh,NY9A,432c,N,N,-0-,-0-,mµ¥Û,MS,37
marsh,NY9B,433,N,N,-0-,-0-,mµ´æ¥Û,MS,38
marsh,NY9C,434,N,N,-0-,-0-,mµ¥Û,MS,39
marsh,NY10A,435,N,N,-0-,-0-,mµ¥Û,MS,40
marsh,NY10B!,436!,N,N,-0-,-0-,mﬁóº¥Û,MS,41
NR,NY11,438,-0-,N,-0-,-0-,-0-,MS,42
marsh,NY12A,439(*),N,N,-0-,-0-,mµ¥Û,MS,43
marsh,NY12A,439(*),N,Y,-0-,AUX,m·∫{∞´º}Û,MS,43
NR,NY12B,440,-0-,N,-0-,-0-,-0-,MS,44
NR,NY12C!,441!,-0-,N,-0-,-0-,-0-,MS,45
marsh,NY13A,443,N,N,-0-,-0-,mµ¥Û,MS,46
marsh,NY13B!,444!,N,N,-0-,-0-,maæ∫Û,MS,47
marsh,NY14A,445,N,N,"on river, cattails",-0-,mµæ∫¥Û,MS,48
marsh,NY14B,446,N,N,-0-,-0-,mµ´º¥Û,MS,49
marsh,NY15A,447,N,N,-0-,-0-,maæ∫¥Û,MS,50
NR,NY15B,448,-0-,N,-0-,-0-,-0-,MS,51
marsh,NY16A,449,N,N,-0-,-0-,mµ:Û,MS,52
marsh,NY16B,450,N,N,river cattails,-0-,mµæ∫¥Û,MS,53
marsh,NY17A,451(*),N,Y,-0-,SUG,m·∫Û,MS,54
marsh,NY17A,451(*),N,Y,-0-,AUX,mµ¥Û,MS,54
marsh,NY17B,452,N,N,-0-,-0-,mµº¥Û,MS,55
marsh,NY18A,453,N,N,-0-,-0-,maæ¥Û,MS,56
marsh,NY18B,454,N,N,-0-,-0-,maæ¥Û,MS,57
marsh,NY18C!,455!,N,N,-0-,-0-,mµ∫{∞é}Û,MS,58
marsh,NY19,456,N,N,-0-,-0-,mµº∞Û,MS,59
marsh,NY20A,457,N,N,-0-,-0-,mµ´¥Û,MS,60
marsh,NY20B,458,N,N,-0-,-0-,maæ¥Û,MS,61
marsh,NY21,459,N,N,-0-,-0-,maæ¥Û,MS,62
marsh,NY22,460,N,N,-0-,-0-,maæ¥Û,MS,63
marsh,NY23A,461,N,N,-0-,-0-,mµé¥Û,MS,64
marsh land,NY23B,462a,O,N,along lakes,-0-,Âmµé¥Û$ıl·´∫{∞}n,MS,65
