"marsh","NY1","50","N","N","cranberries, no grass","mµ∞éÛ","MS",-0-,1.
"marsh","NY2A","51.1","N","N","moss in it, fairly fresh or salt","m·∫Û","MS",-0-,2.
"marsh","NY2B","51.2","N","N","cranberries, hay not mowed","mµ∫Û","MS",-0-,3.
"marsh","NY2B","51.2","N","Y","natural; wild, cranberries, hay not mowed","m·∫Û","MS","OLD",3.
"marsh","NY2C","51.3","N","Y","rushes, not used for anything,","mµ∫Û","MS","SUG/OLD/RN1",4.
-0-,"NY2C","51.3",-0-,-0-,"on ocean or fresh lakes",-0-,"MS","RN2",4.
-0-,"NY2C","51.3",-0-,-0-,"on ocean or fresh lakes",-0-,"MS","RN2",4.
"marsh","NY2C","51.3","N","Y","rushes, not used for anything,","m·∫Û","MS","SUG/OLD/RN1",4.
"meadows","NY3A","401","N","N","salt","m≤ædoΩºπz","MS",-0-,5.
"meadows","NY3B","403","N","N","salt","m≤do›ºπ›z","MS",-0-,6.
"meadow","NY3C","402","N","N","salt marsh","m≤doΩºπ","MS",-0-,7.
"meadows","NY3D","404","N","N","salt","m≤doºπz","MS",-0-,8.
"salt meadows","NY4A","405","O","N",-0-,"s∑Ω∫Ït$m≤æd∞z","MS",-0-,9.
"meadow","NY4B","407","N","N","salt","m≤d∞","MS",-0-,10.
"marsh","NY4C","408","N","N",-0-,"mµæ:Û","MS",-0-,11.
"NR","NY5A","409",-0-,"N",-0-,-0-,"MS",-0-,12.
"marsh","NY5B","410","N","N",-0-,"mµ:Û","MS",-0-,13.
"marsh","NY5C","411","N","N",-0-,"mµæ∫Û","MS",-0-,14.
"marsh","NY5D","412","N","N",-0-,"mﬁº:Û","MS",-0-,15.
"meadows","NY5E","413","N","N","salt","m≤doΩºπz","MS",-0-,16.
"meadows","NY5F","414","N","N","salt","m≤ædoΩºπz","MS",-0-,17.
"marsh","NY5G","415","N","N","salt","mﬁ:Û","MS",-0-,18.
"meadows","NY5H!","416!","N","N",-0-,"m≤doîºπz","MS",-0-,19.
"marsh","NY5H!","416!","N","Y","some","mﬁº¥Û","MS","SUG",19.
"salt meadows","NY5H!","416!","O","N",-0-,"s∑Ω∫Ït$m≤doîºπz","MS",-0-,19.
"marsh","NY5I!","417!","N","N","edge of tide","mµæ¥Û","MS",-0-,20.
"meadows","NY5I!","417!","N","N","usually above tide, local term","m≤d¿›π›z","MS",-0-,20.
"meadow","NY6A","418","N","N","salt","m≤d∞","MS",-0-,21.
"meadow","NY6B","419","N","N","salt","m≤doΩºπ","MS",-0-,22.
"meadow","NY7A","420","N","N","salt","m≤do›Ωºπ›","MS",-0-,23.
"meadows","NY7B","421","N","N","salt","m≤doΩºπz","MS",-0-,24.
"meadow","NY7C","422","N","N","salt","m≤doΩºπ","MS",-0-,25.
"meadows","NY7D","423","N","N",-0-,"m≤doΩºπz","MS",-0-,26.
"marsh","NY7E","424","N","N","salt","mµæ:Û","MS",-0-,27.
"marsh","NY7F","425","N","N","salt","mµæ:Û","MS",-0-,28.
"marsh","NY7G","426","N","N","salt","mµæ:Û","MS",-0-,29.
"marsh","NY7H","427","N","N",-0-,"mﬁº∫Û","MS",-0-,30.
"marsh","NY7I","428","N","N",-0-,"mﬁº:Û","MS",-0-,31.
"marsh","NY7J!","429!","N","N","same as meadow","mµæ∫Û","MS",-0-,32.
"meadows","NY7J!","429!","N","N","same as marsh","m≤doΩºπz","MS",-0-,32.
"marsh","NY7K!","430!","N","N","salt","mﬁº:Û","MS",-0-,33.
"meadow","NY7K!","430!","N","N","salt","m≤doºπ","MS",-0-,33.
"marsh","NY7L!","431!","N","N",-0-,"mµæ:Û","MS",-0-,34.
"salt meadows","NY7L!","431!","O","N",-0-,"s∑∫Ït$m≤d¿πz","MS",-0-,34.
"marsh","NY7M!","432!","N","N",-0-,"mﬁº:Û","MS",-0-,35.
"meadow","NY8","432b","N","N",-0-,"m≤doΩºπ","MS",-0-,36.
"marsh","NY8","432b","N","N",-0-,"mµæ:Û","MS",-0-,36.
"marsh","NY9A","432c","N","N",-0-,"mµ¥Û","MS",-0-,37.
